MarketName,street,city,County,State,zip
Adams Farmers' & Artisans' Market,Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,1220
Addison Farmers Market,One Friendship Plaza,Addison,DuPage,Illinois,60101
Adel Farmers Market,Courthouse Square,Adel,Dallas,Iowa,50830
El Mercado Familiar,,Adjuntas,Adjuntas,Puerto Rico,601
Cass County Farmers' Market,2601 Cantrell Rd,Adrian,Bates,Missouri,64720
Adrian Farmers Market,115 Toledo Street,Adrian ,Lenawee,Michigan,49221
Peachtree Farmers Market,hwy 801,Advance,Davie,North Carolina,27006
RVCC Winter Market,Rockfish School Lane,Afton,Nelson,Virginia,22920
El Mercado Familiar,,Aguada,Aguada,Puerto Rico,601
El Mercado Familiar,,Aguadilla,Aguadilla,Puerto Rico,603
El Mercado Familiar,,Aguas Buenas,Aguas Buenas,Puerto Rico,703
Halawa District Park (People's Open Market),99-795 Iwaiwa Street,Aiea,Honolulu,Hawaii,96701
Pearlridge Farmers Market,98-1005 Moanalua Rd,Aiea ,Honolulu,Hawaii,96701
Aiken County Farmers Market,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801
North Central Farmers' Market,Highway 20 & Main St.,Ainsworth,Brown,Nebraska,69210
Authentically Ajo Farmers Market,Ajo Plaza,Ajo ,Pima,Arizona,85321
TALLMADGE FAMILY FARMERS MARKET,1279 E Tallmadge Ave,Akron,Summit,Ohio,44311
Countryside Public Market,21 Furnace Street,Akron,Summit,Ohio,44308
Countryside Winter Farmers' Market,2315 Ira Rd.,Akron,Summit,Ohio,44333
Market at Lock 3,200 S. Main St.,Akron,Summit,Ohio,44308
Countryside Farmers' Market at Highland Square,1175 W Exchange St,Akron,Summit,Ohio,44302
Akron Farmers Market,City Park,Akron,Plymouth,Iowa,51031
Summit Lake Neighborhood Farmers' Market,380 W. Crosier St.,Akron,Summit,Ohio,44311
HAPI Fresh Farmers' Market ,647 E. Market Street,Akron,Summit,Ohio,44304
HAPI Fresh Farmers' Market ,381 Ontario Street,Akron ,Summit,Ohio,44310
Downtown Alachua Farmer's Market,14801 Main Street,Alachua,Alachua,Florida,32615
Alameda Farmers' Market,Haight and Webster St.,Alameda,Alameda,California,
Alamo Farmers Market,Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001
Alamogordo Otero County Farmers' Market,401 Fairgrounds Rd,Alamogordo,Otero,New Mexico,
Alamogordo Farmers' Market in Alameda Park,1987 White Sands Blvd (next to Toy Train Depot),Alamogordo ,Otero,New Mexico,88310
Alamosa Farmers Market,Corner of 6th Street and State Avenue's Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101
Delaware Area Neighborhood Farmers Market,"St. James Church, 391 Delaware Ave,",Albany,Albany,New York,
Harriman State Campus Farmers Market,"Harriman State Office Campus, Vendor Park, 1220 Washington Ave,",Albany,Albany,New York,
Sage College Farmers Market,"Sage College, New Scotland Rd, Albany",Albany,Albany County,New York,
Downtown Albany Farmers Market,"Tricentennial Park, at Broadway",Albany,Albany,New York,
Albany IN Farmers Market,208 E. State Street,Albany,Delaware,Indiana,47320
Empire State Plaza Farmers Market,Empire State Plaza,Albany,Albany,New York,12242
Whitehall Road Farmers Market,"Jewish Community Center, Whitehall Road, Albany",Albany,Albany County,New York,
Watervliet Farmers Market,Hudson Shores Park,Albany,Albany County,New York,
Clinton County Farmers' Market,19 Mountainview Road,Albany,Clinton,Kentucky,
Albany Farmers' Market,4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321
Albany  Downtown Farmers Market,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702
Farm to Preschool Market: Mercy Cares for Kids,310 S. Manning Blvd,Albany ,Albany,New York,12206
Capital District Physicians' Health Plan Farmers Market,500 Patroon Creek Blvd,"Albany, NY",Albany,New York,12206
Stanly Commons Farmers Market,1000 N. First St.,Albemarle ,Stanly,North Carolina,28001
Albert Lea Farmers Market,104 North Broadway,Albert Lea,Freeborn,Minnesota,
City of Albertville Farmers Market,Main Street- downtown,Albertville,Marshall,Alabama,35950
Monroe County Farmers Market,Southeast corner of The Albia Square,Albia,Monroe,Iowa,52531
Albion Farmer's Market,211 Market Place,Albion,Cass,Michigan,49224
Orleans County Farmers' Market - Save-A-Lot Plaza,320 West Avenue(Rt.31),Albion,Orleans,New York,14411
Edwards County Farmers Market,S 4th St. at E. Main St.,Albion,Edwards,Illinois,62806
ABQ Uptown Growers' Market,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,
Albuquerque Northeast Farmers' Market,6400 Wyoming Blvd,Albuquerque,Bernalillo,New Mexico,
South Valley Growers' Market,3907 Isleta Blvd SW,Albuquerque,Bernalillo,New Mexico,
Armijo Village Growers' Market,1635 Islata Blvd SW     ,Albuquerque,Bernalillo,New Mexico,87105
Nob Hill Growers' Market,Lead & Morningside SE,Albuquerque,Bernalillo,New Mexico,
Albuquerque VA Growers' Market,1501 San Pedro Drive SE,Albuquerque,Bernalillo,New Mexico,
Albuquerque Downtown Growers' Market,800 Central Ave,Albuquerque ,Bernalillo,New Mexico,87102
Alderson Farmers Market ,Rt. 3  Main Street,Alderson ,Greenbrier,West Virginia,24910
Wellness Connection Farmer's Market,24.600 Millstream Drive,Aldi,Loudoun,Virginia,20105
Main Street Farmers Market Downtown Aledo,201 West Main Street,Aledo,Mercer,Illinois,61231
Aledo Farmers Market,128 Elm Street,Aledo,Parker,Texas,76008
MainStreet's Dowtown Farmers Market,8 Broad Street,Alexander City,Tallapoosa,Alabama,35010
Alexandria Farmers Market,Broadway & Second Ave,Alexandria,Douglas,Minnesota,56308
Campbell County Farmers Market Association,U.S. 27,Alexandria,Campbell,Kentucky,41001
Del Ray Farmers' Market,Mt. Vernon & Oxford Ave.,Alexandria,Alexandria,Virginia,22301
Old Town Alexandria Farmers' Market,301 King Street,Alexandria,Alexandria,Virginia,22314
Four Mile Run Farmers & Artisans Market,4109 Mt Vernon Avenue,Alexandria,Alexandria,Virginia,22305
Smart Markets Huntington,5918 North Kings Highway,Alexandria,Fairfax,Virginia,22003
West End Farmers Market,Ben Brenman Park  4800 Brenman Park Drive,Alexandria,Alexandria,Virginia,22304
King Street Station Farmers' Market,1755 Duke Street  (in the courtyard),Alexandria ,Alexandria,Virginia,22314
Kingstowne Farmers Market,5870 Kingstowne Center,Alexandria ,Fairfax,Virginia,22315
McCutcheon/Mount Vernon Farmers Market ,2501 Sherwood Hall Lane,Alexandria ,Fairfax,Virginia,22306
Alexandria Farmers Market,2727 Jackson St,Alexandria ,Rapides,Louisiana,71301
Inglewood Harvest Barn Market ,6233 Old Baton Rouge Hwy ,Alexandria ,Rapides,Louisiana,71302
McCutcheon/Mount Vernon ,2501 Sherwood Hall Lane,Alexandria ,Fairfax,Virginia,22306
Alexandria Bay Farmers Market,Route 12,Alexandria Bay,Jefferson,New York,13607
Kingstowne,5870 Kingstowne Towne Center,Alexandrida ,Fairfax,Virginia,22315
Alfred Farmers Market,Bandstand Main Street,Alfred,Allegany,New York,14802
Kewaunee County Farmers Market,N6975 Hwy 42,Algoma,Kewaunee,Wisconsin,54201
Algoma Farm Market,SECOND ST. & CLARK STREET,Algoma,Kewaunee,Wisconsin,
Kossuth County Farmers Market,Corner of Dodge & Nebraska Streets,Algona,Kossuth,Iowa,50511
Algonquin Farmers Market,Washington St & S Harrison St.,Algonquin,McHenry,Illinois,60102
Jim Wells County Farmers Market,1464 E. Main Street,Alice ,Jim Wells,Texas,78332
The Farmers Market at Rutherfurd Hall,1686 county road 517,Allamuchy,Warren,New Jersey,7820
Allegan Farmers Market,Water Street & Cutler Street,Allegan,Allegan,Michigan,49010
Downtown Allen Park Farmers Market,Park Avenue and Harrison Avenue,Allen Park,Wayne,Michigan,48101
Allendale County Farmers Market,Corner of Bay Street & US Highway 301,Allendale,Allendale,South Carolina,29810
Grand Valley State University Farmers Market,"1 Campus Drive, Parking Lot G",Allendale,Ottawa,Michigan,49504
The Allendale Farmers Market,500 West Crescent Ave. ,Allendale borough,Bergen,New Jersey,7401
Rodale Institute Organic Farmers Market at the Y,425 S. 15th St.,Allentown,Lehigh,Pennsylvania,18102
Rodale Institute Organic Farmers Market at Sacred Heart,450 W. Chew St.,Allentown,Lehigh,Pennsylvania,18102
Allentown Farigrounds Farmers Market,1825 Chew Street,Allentown,Lehigh,Pennsylvania,18104
Allentown Turnpike Plaza Farmers Market,Route 9,Allentown,Lehigh,Pennsylvania,18104
Alliance Farmers' Market,Corner of E. Main St. and Mechanic Ave.,Alliance,Stark,Ohio,44601
Alliance Farmers Market,3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301
St. Ursula Parish,Duncan Ave @ Kirk Ave,Allison Park,Allegheny,Pennsylvania,15101
Allston Farmers' Market,175 North Harvard Street,Allston,Middlesex,Massachusetts,2134
Alma Farmers' Market,Pine & Downie Streets,Alma,Gratiot,Michigan,48801
Alma Farmers Market,"City Auditorium on Main Street, Downtown",Alma,Harlan,Nebraska,68920
Almont Farmers' Market,Van Dyke at School Street (northwest corner),Almont,Lapeer County,Michigan,
Aloha Community Farmers' Market,17675 SW Farmington Rd and SW Kinnaman Rd,Aloha,Washington,Oregon,97007
Alpena Farmers' Market,208 N 1st Ave.,Alpena ,Alpena,Michigan,49707
Porter School Farmers' Market,303 E. Center Street,Alpha,Iron,Michigan,49902
Alsip Farmers Market,12521 S. Kostner Avenue,Alsip,Cook,Illinois,60803
Altadena Farmers' Market,600 W. Palm Street,Altadena,Los Angeles,California,91001
Altamont Farmer's Market,Main Street & Maple Avenue,Altamont,Albany,New York,12009
Organic Farmers Market at Hoovers,1035 Academy Drive,Altamonte Springs,Seminole,Florida,32714
Altavista Farmers Market,Trade Lot,Altavista,Campbell,Virginia,24517
Ozarks Farmers' Market,Market and Couch Streets,Alton,Oregon,Missouri,65606
Alton Farmers' and Artisans' Market,551 Landmarks Blvd.,Alton,Madison,Illinois,62002
Altoona Farmers Market,Heritage Plaza,Altoona,Blair,Pennsylvania,16601
Juniata Farmers Market ,Rider Parking Lot- Penn State Altoona- corner of Rider Farm & Juniata Gap Roads,Altoona,Blair,Pennsylvania,16601
Altus Farmers Market,1116 North Main ST,Altus,Jackson,Oklahoma,73521
Alva Farmers Market,102 North 2d,Alva,Woods,Oklahoma,73717
Golden Spread Farmers Market,15th & Pecos,Amarillo,Potter,Texas,79109
Ambridge Farmers Market,St. Mary's Church Parking Lot,Ambridge,Beaver,Pennsylvania,15003
Amelia Barter Town Farmers Market,Farmers Market at the Fairgrounds,Amelia Court House ,Amelia,Virginia,23002
Amelia Farmers Market,6800 First Coast Hwy,Amelia Island,Nassau,Florida,32034
Happy Valley Farmers Market ,100 east Main St. ,American Fork ,Utah,Utah,84058
Lenny's Farmers Market,110 North Hampton Street,Americus,Sumter,Georgia,31709
Amery Farmers Market,Sooline Park,Amery,Polk,Wisconsin,54001
North Grand Farmers Market Association,North Grand Mall,Ames,Story,Iowa,50010
Ames Main Street Farmers' Market,300 & 400 Blocks of  Main Street,"Ames, IA",Story,Iowa,50010
Amherst Wednesday Market at Kendrick Park,Kendrick Park Intersection of North and East Pleasant st.,Amherst,Hampshire,Massachusetts,1004
2nd Street Farmers' Market,194 second street,Amherst,Amherst,Virginia,24521
Amherst Winter Farmers' Market,170 Chestnut Street,Amherst,Hampshire,Massachusetts,1002
Amherst Farmers' Market,Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,1002
Marks of Excellence Farmers Market,455 Albany Ave,Amityville,Suffolk,New York,11701
Amma Farmers Market,Amma Senior and Community Center,Amma,Roane,West Virginia,25252
Downtown Amory Farmers Market,1st Avenue North,Amory,Monroe,Mississippi,38821
Sanford Farms Amsterdam Farmers Market,"Sanford Farms, Route 30",Amsterdam,Montgomery,New York,12010
Taste of the Mohawk Valley Farmer's Market,1863 Route 5S,Amsterdam ,Montgomery,New York,12010
Amsterdam Saturday Farmers/Crafters Market,100 Church St,Amsterdam ,Montgomery,New York,12010
Anaconda Community Market,Kennedy Commons (306 Main),Anaconda,Deer Lodge,Montana,59711
Anacortes Farmers Market,611 R Avenue,Anacortes,Skagit,Washington,98221
Downtown Anaheim Certified Farmers Market,Center Street Promenade and Lemon Street,Anaheim,Orange,California,92805
West Anaheim Farmers' Market,3100 W Orange Ave,Anaheim,Orange,California,92804
Kaiser Permanente Farmers Market - Anaheim Medical Center,3440 E. La Palma Ave,Anaheim,Orange,California,92806
Farmers Park Market,400 S. Anaheim Blvd,Anaheim,Orange,California,92805
Anamoose Market in the Park,Main Street,Anamoose,McHenry,North Dakota,58710
Anamosa Farmers Market,Corner of Scott and Main Streets,Anamosa,Jones,Iowa,52205
Anchorage Market & Festival,3rd Avenue and E Street,Anchorage,Anchorage,Alaska,99501
Kasilof Flea and Farmers Market,Corner of Mile 111 1/2 Sterling Highway and North Cohoe Loop,Anchorage,Anchorage,Alaska,
South Anchorage Farmers' Market,Subway/Cellular One Sports Centre at the corner of Old Seward and O'Malley,Anchorage,Anchorage,Alaska,
Mountain View Farmers Market ,3543 Mountain View Drive,Anchorage,Anchorage,Alaska,99508
Muldoon Farmers Market,1301 Muldoon Road,Anchorage,Anchorage,Alaska,99504
Northway Mall Wednesday Farmers Market,3101 Penland Parkway,Anchorage,Anchorage,Alaska,99508
South Anchorage Farmers' Market,"Behind the Dimond Center, in front of the Dimond Center Hotel",Anchorage,Anchorage,Alaska,
Anchorage Farmers Market,1420 Cordova Street,Anchorage,Anchorage,Alaska,99645
Spenard Farmers Market,2590 Spenard Road,Anchorage,Anchorage,Alaska,99503
Denali Farmers Market,Intersection of the Parks Highway and Susitna River Road,Anchorage,Anchorage,Alaska,
Center Market,University Center (Old Seward Highway & 36 Avenue,Anchorage,Anchorage,Alaska,
Anderson City Market,802 E 5th St,Anderson,Madison,Indiana,46012
Anderson Happy Valley Farmers Market,Happy Valley Rd.,Anderson,Shasta,California,96007
Shasta Growers Association Certified Farmers Markets/Anderson Market,1699 Hwy 273,Anderson,Shasta,California,96007
Anderson County Farmers Market,402 N. Murray Ave,Anderson,Anderson,South Carolina,29621
B2B (Back to Basics) Farmers' Market,Business 71,Anderson,McDonald,Missouri,64831
The Original Farmers Market,Parking lot of UAW Local 662 109 bypass,Anderson,Anderson,Indiana,46012
B2B Farmers' Market- Thursdays,Hwy. 59 North,Anderson ,McDonald,Missouri,64831
Andover Farmers Market,13655 Round Lake Blvd. NW,Andover,Anoka,Minnesota,
Andover Farmers Market,41 Central Street,Andover,Essex,Massachusetts,1810
Andrews Farmers Market,First Street,Andrews,Cherokee,North Carolina,
Angelica Farmers' Market,"Park Circle, Main Street",Angelica,Allegany,New York,14709
Angels Camp Farmers Market-Fresh Fridays,"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222
Peach Street Farmers Market,234 S. Arcola St.,Angleton ,Brazoria,Texas,77515
Steuben County Farmers Market,317 S Wayne St ,Angola,Steuben,Indiana,46703
Uptown Ankeny Farmers Market,Corner of SW 3rd & SW Maple Street,Ankeny,Polk,Iowa,50023
Pittsfield Township Farmers Market,6201 W. Michigan Ave.,Ann Arbor,Washtenaw,Michigan,48108
Cobblestone Farmers Market,2781 Packard Road,Ann Arbor,Washtenaw,Michigan,48108
Dixboro Farmers' Market,5221 Church Road,Ann Arbor,Washtenaw,Michigan,48105
Ann Arbor Farmers Market,315 Detroit Street,Ann Arbor,Washtenaw,Michigan,48104
Argus Farm Stop - Packard,1200 Packard Rd,"Ann Arbor, Michigan, United States",Washtenaw,Michigan,48104
Anna/Union County Farmers Market,1150 E Vienna St.,Anna,Union,Illinois,62906
Wakefield Farmers Market ,8100 Braddock Road,Annandale,Fairfax,Virginia,22003
Annandale Farmers Market - ACT,25 East Cedar St,Annandale ,Wright,Minnesota,55302
Annandale Farmers Market ,6621 Columbia Pike,Annandale ,Fairfax,Virginia,
Anne Arundel County Farmers' Market  (Riva),Riva Road & Harry S Truman pkwy,Annapolis,Anne Arundel,Maryland,21401
AAMC Farmers's Market,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401
Westfield Annapolis Farmers' Market,Jennifer Rd. & rt.50,Annapolis,Anne Arundel,Maryland,21401
Calhoun County Farmers Market,1702 Noble Street,Anniston,Calhoun,Alabama,36202
Ramsey Farmer Market,14544 Ramsey Pkwy East,Anoka,Anoka,Minnesota,55303
Anoka County Growers Association/ Anoka Market,420 E. Main Street,Anoka,Anoka,Minnesota,55303
Anthem Farmers Market,41703 N. Gavilan Peak Pkwy,Anthem ,Maricopa,Arizona,85086
Anthony Farmers Market,Corner of West Main and Lawrence,Anthony,Harper,Kansas,67003
"Antigo Farmers Market, Inc.",420 Field Street,Antigo,Langlade,Wisconsin,54409
Antioch's Farmers Market,900 Skidmore Drive,Antioch,Lake,Illinois,60002
Kaiser Antioch Farmers' Market,4501 Sand Creek Rd.,Antioch ,Contra Costa,California,
Fresh Approach Mobile Farmers' Market,"213 F Street, Antioch",Antioch ,Contra Costa,California,94509
Apex Farmers Market,220 N. Salem St. ,Apex ,Wake,North Carolina,27502
Apple Valley Farmers' Market,corner of Cty Rd 42 & Galaxy near City Hall,Apple Valley,Dakota County,Minnesota,
Appleton Downtown Farm Market,100 College Avenue,Appleton,Outagamie,Wisconsin,54911
Appleton Area Farmers Market,,Appleton,Swift,Minnesota,56208
Festival Foods Northland Market,,Appleton,Outagamie,Wisconsin,54914
Downtown Appleton Indoor Winter Farm Market,"100 College Avenue, City Center Plaza",Appleton,Outagamie,Wisconsin,54911
Local APX Market - Seasonal,1848 Church Street,Appomattox ,Appomattox,Virginia,24522
Church + Main Market,1848 Church Street,Appomattox ,Appomattox,Virginia,24522
Aptos Farmers Market at Cabrillo College,6500 Soquel Drive,Aptos,Santa Cruz,California,95003
St. Bernard Seafood & Farmers' Market,409 Aycock Street,Arabi,St. Bernard,Louisiana,70032
Wind River Reservation Tribal Farmers Market,4 Great Plains Road,Arapahoe,Fremont,Wyoming,82510
Arbuckle Certified Farmers Market,6613 Harrington Avenue,Arbuckle ,Amador,California,
Arcade Farmers' Market,400 W. Main St.,Arcade,Wyoming,New York,14009
Arcata Plaza Farmers' Market,9th and H Streets,Arcata,Humboldt,California,95521
Wildberries Marketplace Farmers Market,747 13th street,Arcata,Humboldt,California,95521
Creekside Park Farmers Market,100 Park Drive,Archdale,Randolph,North Carolina,27263
"The Downtown Farmers Market Ardmore, Oklahoma ",106 E Broadway,Ardmore ,Carter,Oklahoma,73401
Cottage House Youth Market,47 Doster Road,Ariton,Barbour,Alabama,36311
S & W Produce,"4807 Highway 51, South",Ariton,Barbour,Alabama,36311
Marian's Market,Arivaca Rd,Arivaca,Pima,Arizona,85601
Clark County Farmers Market,First Methodist Church parking lot,Arkadelphia,Clark,Arkansas,71923
Ark City Farm & Art Market,200 Blcok S. Summit,Arkansas City,Cowley,Kansas,67005
Jocko Valley Farmers' Market,"US Hwy 93, next to the Hangin Art Gallery",Arlee,Lake,Montana,59821
Columbia Pike Farmers Market,2820 Columbia Pike,Arlington,Arlington,Virginia,22204
Rosslyn Farmers and Artists Market,1911 North Fort Myer Drive,Arlington,Arlington,Virginia,22209
Ballston Farmers Market,1000 North Glebe Road,Arlington,Arlington,Virginia,22207
Westover Farmers Market,1644 N. McKinley Road,Arlington,Arlington,Virginia,22205
Clarendon Farmers Market,3101 Wilson Blvd.,Arlington,Arlington,Virginia,22201
Arlington Village Farmers Market,3904 VT-7A,Arlington,Bennington,Vermont,5250
Arlington Farmers Market,1400 North Courthouse Road,Arlington,Arlington,Virginia,22201
Marymount Farmers Market,2807 N. Glebe Road,Arlington,Arlington,Virginia,22207
Arlington Heights Farmers Market,N. Arlington Heights Rd. at E. Eastman St.,Arlington,Cook,Illinois,60004
Arlington Farmers Market,200 N Olympic,Arlington,Snohomish,Washington,
FRESHFARM Rosslyn Farmers Market,1800 N. Lynn Street,Arlington ,Arlington,Virginia,22209
Downtown Arlington Farmers Market,215 E Front Street,Arlington ,Tarrant,Texas,76010
FRESHFARM Crystal City Market,1965 Crystal Drive,Arlington ,Arlington,Virginia,22202
Fairlington Farmers Market,3308 S. Stafford Street,Arlington ,Arlington,Virginia,22206
Arlington Mill Farmers Market,"Arlington Mill Community Center, 909 S. Dinwiddie Street",Arlington ,Arlington,Virginia,22204
FRESHFARM Ballston Market,901 North Taylor Street,Arlington ,Arlington,Virginia,22203
Arlington Farm and Art Market,304 W Main,Arlington ,Reno,Kansas,67514
"Faith in Place Winter Farmers Market - Our Saviour's Lutheran Church, Arlington Heights",1234 N. Arlington Heights Road,Arlington Heights,Cook,Illinois,60004
Arlington Farmers Market,"Russell Commons Parking Lot, Winslow St. at Mystic St","Arlington, Ma. ",Middlesex,Massachusetts,2474
Arnold Farmers Market,2400 Bradley Beach Road,Arnold,Jefferson,Missouri,63010
Arroyo Grande Spencers CFM,1464 E. Grand Avenue,Arroyo Grande,SAN LUIS OBISPO,California,
Arroyo Grande Oak Park Plaza Farmers Market,"East Branch, K-Mart Parking lot",Arroyo Grande,San Luis Obispo,California,93420
El Maercado Familiar,,Arroyo zona urbana,Arroyo,Puerto Rico,714
Arthur Produce Auction,354 N Cr-100 E,Arthur,Douglas,Illinois,61911
Market at Echters Garden Center, 5150 Garrison St,Arvada,Jefferson County,Colorado,
Arvada Five Parks Farmers Market,13810 W. 85th Dr.,Arvada,Jefferson,Colorado,80005
Arvada Farmers Market,57th St. & Olde Wadsworth St.,Arvada,Jefferson,Colorado,80002
Asbury Park Carousel Farmers' Market, First and Ocean Avenue,Asbury Park,Monmouth,New Jersey,7712
Asbury Fresh,Kennedy Park (on Cookman Ave next to Ivan & Andys,Asbury Park,Monmouth,New Jersey,7712
LVHMC Loudoun Station Farmers Market,Gramercy Park Drive and Central Station Drive,Ashburn,Loudoun,Virginia,20147
Ashburnham Farmers' Market,1 Gardner Road,Ashburnham,Worcester,Massachusetts,1430
Ashby Farmers Market,"Town Common, Main Street, Rte 119",Ashby,Middlesex,Massachusetts,1431
Ashdown Farmers Market,Block of East Main St.,Ashdown,Little River,Arkansas,71822
Ashboro Downtown Farmers Market,134 South Church Street,Asheboro,Randolph,North Carolina,28801
French Broad Food Coop Arts & Farms Market,76 Biltmore Ave. next to the French Broad Food Co-op.,Asheville,Buncombe,North Carolina,28801
Victory Tailgate Market,1329 Tunnel Road,Asheville,Buncombe,North Carolina,28805
WNC Farmers Market,"570 Brevard Road, Asheville, NC  28806",Asheville,Buncombe,North Carolina,28806
Oakley Farmers Market,607 Fairview Road,Asheville,Buncombe,North Carolina,28803
North Asheville Tailgate Market,1 University Heights,Asheville,Buncombe,North Carolina,28804
YMCA Winter Market,789 Merrimon Ave,Asheville,Buncombe,North Carolina,28801
Montford Farmers Market,36 Montford Ave,Asheville,Buncombe,North Carolina,28801
Greenlife Sunday Afternoon Local Market,70 Merrimon Avenue,Asheville,Buncombe,North Carolina,28801
Asheville City Market - South,1 Town Square Blvd,Asheville,Buncombe,North Carolina,28803
Asheville City Market,161 S Charlotte Street,Asheville ,Buncombe,North Carolina,28801
East Asheville Tailgate Market ,954 Tunnel Road,Asheville ,Buncombe,North Carolina,28805
Ashfield Farmers Market,Ashfield Town Common,Ashfield,Franklin,Massachusetts,1330
ASHFORD FARMERS MARKET,"Pompey Hollow Park, across from the Town Hall",Ashford,Windham,Connecticut,
Rogue Valley Growers & Crafters Market,1492 East Main,Ashland,Jackson,Oregon,97520
Boyd County Farmers Market,7404 US Route 60,Ashland,Boyd,Kentucky,
Ashland Farmers Market,125 Front St,Ashland,Middlesex,Massachusetts,1721
Rogue Valley Growers & Crafters Market,Oak & N Main,Ashland,Jackson,Oregon,97520
Ashland Area Farmers Market,200th Block Chapple Ave,Ashland,Ashland,Wisconsin,54846
The Mid-Week Farmers Market,"Parking Lot B, Downtown",Ashland,Ashland,Ohio,44805
Clay County Farmers Market,Highway 9,Ashland,Clay,Alabama,36251
Ashland Farmers Market,101 Thompson St.,Ashland,Hanover,Virginia,23005
Katy Trail Market,,Ashland ,Boone,Missouri,
Ashley Farmers Market,"On East Main Street,",Ashley,McIntosh County,North Dakota,
Ashtabula Farmers Market,1119 Bridge Street,Ashtabula,Ashtabula,Ohio,44004
Ashotn Farmers Market,Off Main Street,Ashton,Fremont,Idaho,83420
Aspen Saturday Market,East Hopkins and South Hunter,Aspen,Pitkin,Colorado,81611
Astoria Sunday Market,12th Street,Astoria,Clatsop,Oregon,97103
