MarketName,city,County,State,zip
Downtown Albany Farmers Market,Albany,Albany,New York,
Watervliet Farmers Market,Albany,Albany County,New York,
Delaware Area Neighborhood Farmers Market,Albany,Albany,New York,
Farm to Preschool Market: Mercy Cares for Kids,Albany ,Albany,New York,12206
Capital District Physicians' Health Plan Farmers Market,"Albany, ny",Albany,New York,12206
Stanly Commons Farmers Market,Albemarle ,Stanly,North Carolina,28001
Albert Lea Farmers Market,Albert lea,Freeborn,Minnesota,
ALBERTA FARMERS MARKET,Alberta,WILCOX,Alabama,36720
City of Albertville Farmers Market,Albertville,Marshall,Alabama,35950
Monroe County Farmers Market,Albia,Monroe,Iowa,52531
Orleans County Farmers' Market - Save-A-Lot Plaza,Albion,Orleans,New York,14411
Edwards County Farmers Market,Albion,Edwards,Illinois,62806
Albion Farmer's Market,Albion,Cass,Michigan,49224
ABQ Uptown Growers' Market,Albququerque,Bernalillo,New Mexico,
Nob Hill Growers' Market,Albuquerque,Bernalillo,New Mexico,
Albuquerque Northeast Farmers' Market,Albuquerque,Bernalillo,New Mexico,
South Valley Growers' Market,Albuquerque,Bernalillo,New Mexico,
Armijo Village Growers' Market,Albuquerque,Bernalillo,New Mexico,87105
Albuquerque VA Growers' Market,Albuquerque,Bernalillo,New Mexico,
Albuquerque Downtown Growers' Market,Albuquerque ,Bernalillo,New Mexico,87102
Alderson Farmers Market ,Alderson ,Greenbrier,West Virginia,24910
Wellness Connection Farmer's Market,Aldi,Loudoun,Virginia,20105
Main Street Farmers Market Downtown Aledo,Aledo,Mercer,Illinois,61231
Aledo Farmers Market,Aledo,Parker,Texas,76008
MainStreet's Dowtown Farmers Market,Alexander city,Tallapoosa,Alabama,35010
Del Ray Farmers' Market,Alexandria,Alexandria,Virginia,22301
Alexandria Farmers Market,Alexandria,Douglas,Minnesota,56308
Old Town Alexandria Farmers' Market,Alexandria,Alexandria,Virginia,22314
West End Farmers Market,Alexandria,Alexandria,Virginia,22304
Four Mile Run Farmers & Artisans Market,Alexandria,Alexandria,Virginia,22305
Smart Markets Huntington,Alexandria,Fairfax,Virginia,22003
Campbell County Farmers Market Association,Alexandria,Campbell,Kentucky,41001
McCutcheon/Mount Vernon ,Alexandria ,Fairfax,Virginia,22306
King Street Station Farmers' Market,Alexandria ,Alexandria,Virginia,22314
Kingstowne Farmers Market,Alexandria ,Fairfax,Virginia,22315
McCutcheon/Mount Vernon Farmers Market ,Alexandria ,Fairfax,Virginia,22306
Alexandria Farmers Market,Alexandria ,Rapides,Louisiana,71301
Inglewood Harvest Barn Market ,Alexandria ,Rapides,Louisiana,71302
Alexandria Bay Farmers Market,Alexandria bay,Jefferson,New York,13607
Kingstowne,Alexandrida ,Fairfax,Virginia,22315
Alfred Farmers Market,Alfred,Allegany,New York,14802
Kewaunee County Farmers Market,Algoma,Kewaunee,Wisconsin,54201
Algoma Farm Market,Algoma,Kewaunee,Wisconsin,
Kossuth County Farmers Market,Algona,Kossuth,Iowa,50511
Algonquin Farmers Market,Algonquin,McHenry,Illinois,60102
Jim Wells County Farmers Market,Alice ,Jim Wells,Texas,78332
The Farmers Market at Rutherfurd Hall,Allamuchy,Warren,New Jersey,7820
Allegan Farmers Market,Allegan,Allegan,Michigan,49010
Downtown Allen Park Farmers Market,Allen park,Wayne,Michigan,48101
Grand Valley State University Farmers Market,Allendale,Ottawa,Michigan,49504
Allendale County Farmers Market,Allendale,Allendale,South Carolina,29810
The Allendale Farmers Market,Allendale borough,Bergen,New Jersey,7401
Allentown Farigrounds Farmers Market,Allentown,Lehigh,Pennsylvania,18104
Rodale Institute Organic Farmers Market at Sacred Heart,Allentown,Lehigh,Pennsylvania,18102
Allentown Turnpike Plaza Farmers Market,Allentown,Lehigh,Pennsylvania,18104
Rodale Institute Organic Farmers Market at the Y,Allentown,Lehigh,Pennsylvania,18102
Alliance Farmers' Market,Alliance,Stark,Ohio,44601
Alliance Farmers Market,Alliance,Box Butte,Nebraska,69301
St. Ursula Parish,Allison park,Allegheny,Pennsylvania,15101
Allston Farmers' Market,Allston,Middlesex,Massachusetts,2134
Alma Farmers' Market,Alma,Gratiot,Michigan,48801
Alma Farmers Market,Alma,Harlan,Nebraska,68920
Almont Farmers' Market,Almont,Lapeer County,Michigan,
Aloha Community Farmers' Market,Aloha,Washington,Oregon,97007
Alpena Farmers' Market,Alpena ,Alpena,Michigan,49707
Porter School Farmers' Market,Alpha,Iron,Michigan,49902
Alsip Farmers Market,Alsip,Cook,Illinois,60803
Altadena Farmers' Market,Altadena,Los Angeles,California,91001
Altamont Farmer's Market,Altamont,Albany,New York,12009
Organic Farmers Market at Hoovers,Altamonte springs,Seminole,Florida,32714
Altavista Farmers Market,Altavista,Campbell,Virginia,24517
Ozarks Farmers' Market,Alton,Oregon,Missouri,65606
Alton Farmers' and Artisans' Market,Alton,Madison,Illinois,62002
Altoona Farmers Market,Altoona,Blair,Pennsylvania,16601
Juniata Farmers Market ,Altoona,Blair,Pennsylvania,16601
Altus Farmers Market,Altus,Jackson,Oklahoma,73521
Alva Farmers Market,Alva,Woods,Oklahoma,73717
Golden Spread Farmers Market,Amarillo,Potter,Texas,79109
Ambridge Farmers Market,Ambridge,Beaver,Pennsylvania,15003
Amelia Barter Town Farmers Market,Amelia court house ,Amelia,Virginia,23002
Amelia Farmers Market,Amelia island,Nassau,Florida,32034
Happy Valley Farmers Market ,American fork ,Utah,Utah,84058
Lenny's Farmers Market,Americus,Sumter,Georgia,31709
Amery Farmers Market,Amery,Polk,Wisconsin,54001
North Grand Farmers Market Association,Ames,Story,Iowa,50010
Ames Main Street Farmers' Market,"Ames, ia",Story,Iowa,50010
Amherst Winter Farmers' Market,Amherst,Hampshire,Massachusetts,1002
2nd Street Farmers' Market,Amherst,Amherst,Virginia,24521
Amherst Wednesday Market at Kendrick Park,Amherst,Hampshire,Massachusetts,1004
Amherst Farmers' Market,Amherst center,Hampshire,Massachusetts,1002
Marks of Excellence Farmers Market,Amityville,Suffolk,New York,11701
Amma Farmers Market,Amma,Roane,West Virginia,25252
Downtown Amory Farmers Market,Amory,Monroe,Mississippi,38821
Sanford Farms Amsterdam Farmers Market,Amsterdam,Montgomery,New York,12010
Taste of the Mohawk Valley Farmer's Market,Amsterdam ,Montgomery,New York,12010
Amsterdam Saturday Farmers/Crafters Market,Amsterdam ,Montgomery,New York,12010
Anaconda Community Market,Anaconda,Deer Lodge,Montana,59711
Anacortes Farmers Market,Anacortes,Skagit,Washington,98221
Farmers Park Market,Anaheim,Orange,California,92805
Kaiser Permanente Farmers Market - Anaheim Medical Center,Anaheim,Orange,California,92806
West Anaheim Farmers' Market,Anaheim,Orange,California,92804
Downtown Anaheim Certified Farmers Market,Anaheim,Orange,California,92805
Anamoose Market in the Park,Anamoose,McHenry,North Dakota,58710
Anamosa Farmers Market,Anamosa,Jones,Iowa,52205
South Anchorage Farmers' Market,Anchorage,Anchorage,Alaska,
South Anchorage Farmers' Market,Anchorage,Anchorage,Alaska,
Muldoon Farmers Market,Anchorage,Anchorage,Alaska,99504
Anchorage Market & Festival,Anchorage,Anchorage,Alaska,99501
Kasilof Flea and Farmers Market,Anchorage,Anchorage,Alaska,
Northway Mall Wednesday Farmers Market,Anchorage,Anchorage,Alaska,99508
Mountain View Farmers Market ,Anchorage,Anchorage,Alaska,99508
Spenard Farmers Market,Anchorage,Anchorage,Alaska,99503
Denali Farmers Market,Anchorage,Anchorage,Alaska,
Center Market,Anchorage,Anchorage,Alaska,
Anchorage Farmers Market,Anchorage,Anchorage,Alaska,99645
The Original Farmers Market,Anderson,Anderson,Indiana,46012
Anderson Happy Valley Farmers Market,Anderson,Shasta,California,96007
Anderson City Market,Anderson,Madison,Indiana,46012
B2B (Back to Basics) Farmers' Market,Anderson,McDonald,Missouri,64831
Shasta Growers Association Certified Farmers Markets/Anderson Market,Anderson,Shasta,California,96007
Anderson County Farmers Market,Anderson,Anderson,South Carolina,29621
B2B Farmers' Market- Thursdays,Anderson ,McDonald,Missouri,64831
Andover Farmers Market,Andover,Anoka,Minnesota,
Andover Farmers Market,Andover,Essex,Massachusetts,1810
Andrews Farmers Market,Andrews,Cherokee,North Carolina,
Angelica Farmers' Market,Angelica,Allegany,New York,14709
Angels Camp Farmers Market-Fresh Fridays,Angels camp,Calaveras,California,95222
Peach Street Farmers Market,Angleton ,Brazoria,Texas,77515
Steuben County Farmers Market,Angola,Steuben,Indiana,46703
Uptown Ankeny Farmers Market,Ankeny,Polk,Iowa,50023
Cobblestone Farmers Market,Ann arbor,Washtenaw,Michigan,48108
Pittsfield Township Farmers Market,Ann arbor,Washtenaw,Michigan,48108
Ann Arbor Farmers Market,Ann arbor,Washtenaw,Michigan,48104
Dixboro Farmers' Market,Ann arbor,Washtenaw,Michigan,48105
Argus Farm Stop - Packard,"Ann arbor, michigan, united states",Washtenaw,Michigan,48104
Anna/Union County Farmers Market,Anna,Union,Illinois,62906
Wakefield Farmers Market ,Annandale,Fairfax,Virginia,22003
Annandale Farmers Market - ACT,Annandale ,Wright,Minnesota,55302
Annandale Farmers Market ,Annandale ,Fairfax,Virginia,
Anne Arundel County Farmers' Market  (Riva),Annapolis,Anne Arundel,Maryland,21401
AAMC Farmers's Market,Annapolis,Anne Arundel,Maryland,21401
Westfield Annapolis Farmers' Market,Annapolis,Anne Arundel,Maryland,21401
Calhoun County Farmers Market,Anniston,Calhoun,Alabama,36202
Anoka County Growers Association/ Anoka Market,Anoka,Anoka,Minnesota,55303
Ramsey Farmer Market,Anoka,Anoka,Minnesota,55303
Anthem Farmers Market,Anthem ,Maricopa,Arizona,85086
Anthony Farmers Market,Anthony,Harper,Kansas,67003
"Antigo Farmers Market, Inc.",Antigo,Langlade,Wisconsin,54409
Antioch's Farmers Market,Antioch,Lake,Illinois,60002
Kaiser Antioch Farmers' Market,Antioch ,Contra Costa,California,
Fresh Approach Mobile Farmers' Market,Antioch ,Contra Costa,California,94509
Apex Farmers Market,Apex ,Wake,North Carolina,27502
Apple Valley Farmers' Market,Apple valley,Dakota County,Minnesota,
Festival Foods Northland Market,Appleton,Outagamie,Wisconsin,54914
Downtown Appleton Indoor Winter Farm Market,Appleton,Outagamie,Wisconsin,54911
Appleton Area Farmers Market,Appleton,Swift,Minnesota,56208
Appleton Downtown Farm Market,Appleton,Outagamie,Wisconsin,54911
Local APX Market - Seasonal,Appomattox ,Appomattox,Virginia,24522
Church + Main Market,Appomattox ,Appomattox,Virginia,24522
Aptos Farmers Market at Cabrillo College,Aptos,Santa Cruz,California,95003
St. Bernard Seafood & Farmers' Market,Arabi,St. Bernard,Louisiana,70032
Wind River Reservation Tribal Farmers Market,Arapahoe,Fremont,Wyoming,82510
Arbuckle Certified Farmers Market,Arbuckle ,Amador,California,
Arcade Farmers' Market,Arcade,Wyoming,New York,14009
Wildberries Marketplace Farmers Market,Arcata,Humboldt,California,95521
Arcata Plaza Farmers' Market,Arcata,Humboldt,California,95521
Creekside Park Farmers Market,Archdale,Randolph,North Carolina,27263
"The Downtown Farmers Market Ardmore, Oklahoma ",Ardmore ,Carter,Oklahoma,73401
Cottage House Youth Market,Ariton,Barbour,Alabama,36311
S & W Produce,Ariton,Barbour,Alabama,36311
Marian's Market,Arivaca,Pima,Arizona,85601
Clark County Farmers Market,Arkadelphia,Clark,Arkansas,71923
Ark City Farm & Art Market,Arkansas city,Cowley,Kansas,67005
Jocko Valley Farmers' Market,Arlee,Lake,Montana,59821
Columbia Pike Farmers Market,Arlington,Arlington,Virginia,22204
Clarendon Farmers Market,Arlington,Arlington,Virginia,22201
Arlington Farmers Market,Arlington,Arlington,Virginia,22201
Rosslyn Farmers and Artists Market,Arlington,Arlington,Virginia,22209
Westover Farmers Market,Arlington,Arlington,Virginia,22205
Ballston Farmers Market,Arlington,Arlington,Virginia,22207
Arlington Village Farmers Market,Arlington,Bennington,Vermont,5250
Marymount Farmers Market,Arlington,Arlington,Virginia,22207
Arlington Heights Farmers Market,Arlington,Cook,Illinois,60004
Arlington Farmers Market,Arlington,Snohomish,Washington,
Fairlington Farmers Market,Arlington ,Arlington,Virginia,22206
Downtown Arlington Farmers Market,Arlington ,Tarrant,Texas,76010
FRESHFARM Crystal City Market,Arlington ,Arlington,Virginia,22202
Arlington Mill Farmers Market,Arlington ,Arlington,Virginia,22204
FRESHFARM Ballston Market,Arlington ,Arlington,Virginia,22203
FRESHFARM Rosslyn Farmers Market,Arlington ,Arlington,Virginia,22209
Arlington Farm and Art Market,Arlington ,Reno,Kansas,67514
"Faith in Place Winter Farmers Market - Our Saviour's Lutheran Church, Arlington Heights",Arlington heights,Cook,Illinois,60004
Arlington Farmers Market,"Arlington, ma. ",Middlesex,Massachusetts,2474
Arnold Farmers Market,Arnold,Jefferson,Missouri,63010
Arroyo Grande Spencers CFM,Arroyo grande,SAN LUIS OBISPO,California,
Arroyo Grande Oak Park Plaza Farmers Market,Arroyo grande,San Luis Obispo,California,93420
El Maercado Familiar,Arroyo zona urbana,Arroyo,Puerto Rico,714
Arthur Produce Auction,Arthur,Douglas,Illinois,61911
Market at Echters Garden Center,Arvada,Jefferson County,Colorado,
Arvada Five Parks Farmers Market,Arvada,Jefferson,Colorado,80005
Arvada Farmers Market,Arvada,Jefferson,Colorado,80002
Asbury Park Carousel Farmers' Market,Asbury park,Monmouth,New Jersey,7712
Asbury Fresh,Asbury park,Monmouth,New Jersey,7712
LVHMC Loudoun Station Farmers Market,Ashburn,Loudoun,Virginia,20147
Ashburnham Farmers' Market,Ashburnham,Worcester,Massachusetts,1430
Ashby Farmers Market,Ashby,Middlesex,Massachusetts,1431
Ashdown Farmers Market,Ashdown,Little River,Arkansas,71822
Ashboro Downtown Farmers Market,Asheboro,Randolph,North Carolina,28801
Asheville City Market - South,Asheville,Buncombe,North Carolina,28803
Greenlife Sunday Afternoon Local Market,Asheville,Buncombe,North Carolina,28801
Victory Tailgate Market,Asheville,Buncombe,North Carolina,28805
WNC Farmers Market,Asheville,Buncombe,North Carolina,28806
Oakley Farmers Market,Asheville,Buncombe,North Carolina,28803
YMCA Winter Market,Asheville,Buncombe,North Carolina,28801
Montford Farmers Market,Asheville,Buncombe,North Carolina,28801
French Broad Food Coop Arts & Farms Market,Asheville,Buncombe,North Carolina,28801
North Asheville Tailgate Market,Asheville,Buncombe,North Carolina,28804
Asheville City Market,Asheville ,Buncombe,North Carolina,28801
East Asheville Tailgate Market ,Asheville ,Buncombe,North Carolina,28805
Ashfield Farmers Market,Ashfield,Franklin,Massachusetts,1330
ASHFORD FARMERS MARKET,Ashford,Windham,Connecticut,
Boyd County Farmers Market,Ashland,Boyd,Kentucky,
Ashland Farmers Market,Ashland,Hanover,Virginia,23005
Clay County Farmers Market,Ashland,Clay,Alabama,36251
Rogue Valley Growers & Crafters Market,Ashland,Jackson,Oregon,97520
coyote farm and home market,Ashland,Boone,Missouri,65010
Ashland Farmers Market,Ashland,Middlesex,Massachusetts,1721
Ashland Area Farmers Market,Ashland,Ashland,Wisconsin,54846
The Mid-Week Farmers Market,Ashland,Ashland,Ohio,44805
Rogue Valley Growers & Crafters Market,Ashland,Jackson,Oregon,97520
Katy Trail Market,Ashland ,Boone,Missouri,
Ashley Farmers Market,Ashley,McIntosh County,North Dakota,
Ashtabula Farmers Market,Ashtabula,Ashtabula,Ohio,44004
Ashotn Farmers Market,Ashton,Fremont,Idaho,83420
Aspen Saturday Market,Aspen,Pitkin,Colorado,81611
Astoria Sunday Market,Astoria,Clatsop,Oregon,97103
River People Farmers Market,Astoria ,Clatsop,Oregon,97103
Atascadero Main Street CFM,Atascadero,San Luis Obispo,California,93422
Atascadero  Farmers Market,Atascadero,San Luis Obispo,California,93422
Atchison Farmers Market,Atchison,Atchison,Kansas,66002
Athens Locally Grown,Athens,Clarke,Georgia,30603
"Athens Farmers Market, L.L.C.",Athens,Clarke,Georgia,30601
"Athens Farmers Market, LLC",Athens,Clarke,Georgia,30606
Athens Farmers Market at Market Park,Athens,McMinn,Tennessee,37303
Athens Saturday Market,Athens,Limestone,Alabama,35611
McMinn County Farmers Market,Athens,McMinn,Tennessee,
Athens Farmers Market Downtown,Athens,Clarke,Georgia,30601
Athens Farmers Market,Athens,St. Clair,Illinois,62613
Athens Farmers Market,Athens,Athens,Ohio,45701
Athens Farmers Market,Athens,Calhoun,Michigan,49011
Nelsonville Farmers Market ,Athens ,Athens,Ohio,
West Broad Farmers Market and Garden,Athens-clarke county unified government (balance),Clarke,Georgia,
Athol Farmers Market,Athol,Worcester,Massachusetts,1331
SWOOM Farmers Market at Atwood Community Gardens,Atlanta,Fulton,Georgia,30310
Peachtree Road Farmers Market,Atlanta,Fulton,Georgia,30305
Jersey Jodi's Farmers Market ,Atlanta,Fulton,Georgia,30318
The Fresh MARTA Market - H.E. Holmes Rail Station   Wednesdays  3:00-7:00p.m.,Atlanta,Fulton,Georgia,30311
Grant Park Farmers Market ,Atlanta,Fulton,Georgia,30312
Emory Farmers Market,Atlanta,Fulton,Georgia,30322
The Fresh MARTA Market - Bankhead Rail Station   Wednesdays  3:00-7:00p.m.,Atlanta,Fulton,Georgia,
Common Ground Farmers Market,Atlanta,Fulton,Georgia,30350
The Fresh MARTA Market - Five Points Rail Station   Fridays  3:00-7:00p.m.,Atlanta,Fulton,Georgia,30303
The Fresh MARTA Market - Tuesdays - West End Station,Atlanta,Fulton,Georgia,
Freedom Farmers Market at the Carter Center,Atlanta,Fulton,Georgia,30307
Ponce City Farmers Market on the BeltLine ,Atlanta,DeKalb,Georgia,30308
The GROVE Farmer's Market,Atlanta,DeKalb,Georgia,30016
Midday Market @Atlanta Federal Center,Atlanta,Fulton,Georgia,30303
Morningside Farmers Market,Atlanta,Fulton,Georgia,30306
East Lake Farmers Market,Atlanta,DeKalb,Georgia,30317
East Atlanta Village Farmers Market ,Atlanta,Fulton,Georgia,30316
Green Market at Piedmont Park,Atlanta,Fulton,Georgia,30309
Jazam natural farmer market,Atlanta ,DeKalb,Georgia,
Atlantic Farmers Market,Atlantic,Cass,Iowa,50022
Produce in the Park,Atlantic ,Cass,Iowa,50022
Atlantic City Farmers' Market,Atlantic city,Atlantic,New Jersey,8401
Atlantic Highlands Chamber of Commerce Farmers' Market,Atlantic highlands,Monmouth,New Jersey,7716
Attalla City Farmers Market,Attalla,Etowah,Alabama,39554
"Attleboro Farmers Market, inc",Attleboro ,Bristol,Massachusetts,2703
Central Valley Farmers Market,Atwater,Merced,California,95301
City of Au Gres Downtown Farmers Market,Au gres,Arenac,Michigan,
Auburn Farmers Market,Auburn,Worcester,Massachusetts,1501
The Market at Ag Heritage Park,Auburn,Lee,Alabama,36849
Auburn Farmers Market,Auburn,King,Washington,98002
Dutch Pantry Farmers Market,Auburn,Nemaha,Nebraska,68305
Auburn Old Town Farmers Market,Auburn,Placer,California,95603
Auburn Dewitt Center Farmers Market,Auburn,Placer,California,95602
Auburn Farmers Market,Auburn,Placer,Indiana,46706
Auburn Farmers Market,Auburn,Shawnee,Kansas,66402
Auburn Marketplace Farmers Market,Auburn,Placer,California,95603
Auburn Farmer's Market,Auburn,Barrow,Georgia,30011
City Market,Auburn,Lee,Alabama,36830
Roseville Sun City Farmers Market,Auburn,Placer,California,95604
Auburn Farmers Co-op Market Inc.,Auburn,Cayuga,New York,13021
Auburn Farmers' market,Auburn ,Androscoggin,Maine,4210
Lake of the Pines Association Certified Farmers Market,Auburn ,Nevada,California,95602
Auburn Hills Farmers Market,Auburn hills,Oakland,Michigan,48326
HERITAGE PARK MARKET,Auburn university,Lee,Alabama,36849
Audubon Farmers Market,Audubon,Audubon,Iowa,50025
Veggie Truck Farmers Market,Augusta,Richmond,Georgia,30904
Saturday Farmers Market on Broad,Augusta,Richmond,Georgia,30901
Augusta State Farmer's Market,Augusta,Richmond,Georgia,30901
Augusta Farmers' Market at Mill Park,Augusta,Kennebec,Maine,4330
Sussex County Farmers Market at the Fairgrounds,Augusta,Sussex,New Jersey,7822
Farmers' Market at Mill Park,Augusta,Kennebec,Maine,4330
Village of Aurora Farmers Market,Aurora,Cayuga,New York,13026
Open Farmers' Market of Aurora,Aurora,Lawrence,Missouri,65605
Aurora Local Farmer's Market - Summer Market,Aurora,Lawrence,Missouri,65605
Southlands Farmer's Market ,Aurora,Arapahoe,Colorado,80013
Aurora Local Farmers' Market,Aurora,Lawrence,Missouri,65605
Aurora's Farmers Market West,Aurora ,Kane,Illinois,60506
Aurora's Farmers Market Downtown,Aurora ,Kane,Illinois,60505
Aurora's Farmers Market East,Aurora ,DuPage,Illinois,60607
Aurora Local Farmers' Market - Winter Market,Aurora ,Lawrence,Missouri,65605
Ausable Valley Farmers Market,Ausable forks,Essex,New York,12912
South Austin Farmers Market,Austin,Travis,Texas,78745
Austin Farmers' Market,Austin,Mower,Minnesota,55912
HOPE Farmers Market,Austin,Travis,Texas,78703
Texas Farmers' Market at Mueller,Austin,Travis,Texas,78722
Burnet Road Farmers' Market,Austin,Austin,Texas,78757
Barton Creek Farmers Market,Austin,Travis,Texas,78746
Barton Creek Farmers Market (Highland Mall),Austin,Travis,Texas,78752
Green Gate Farms,Austin,Travis,Texas,78724
SFC Farmers' Market Downtown,Austin ,Travis,Texas,78701
Farmers Market Place LLC,Austin ,Mower,Minnesota,55912
SFC Farmers' Market at Sunset Valley ,Austin/sunset valley,Travis,Texas,78745
Austintown Farmers Market,Austintown,Mahoning,Ohio,44515
Ava Farmers Market,Ava,Jackson,Illinois,62907
Ava Growers' Market,Ava ,Douglas,Missouri,65608
Avon Library Farmers Market,Avon,Hartford,Connecticut,6001
Avon Market Days,Avon,Livingston,New York,14414
Avon Farmers Market,Avon,Hendricks,Indiana,
Farmington Valley Farmers Market,Avon ,Hartford,Connecticut,6001
Avon Lake Farmers Market,Avon lake,Lorain,Ohio,44012
New Garden Growers Market,Avondale borough,Chester,Pennsylvania,19311
Awendaw Farmers and Fresh Seafood Market,Awendaw,Charleston,South Carolina,29429
Ayer Farmers Market,Ayer,Middlesex,Massachusetts,1432
Aztec Farmers' Market,Aztec,San Juan,New Mexico,
Bagley Area Farmrs Market,Bagley,Clearwater,Minnesota,56621
Bainbridge Farmers Market,Bainbridge,Decatur,Georgia,39817
Bainbridge Farm Market,Bainbridge,Putnam,Indiana,46105
Bainbridge Island Farmers' Market,Bainbridge island,Kitsap,Washington,98110
Akers of Strawberries,Baker,Okaloosa,Florida,32531
Brooks Farm Market,Baker,Okaloosa,Florida,
Baker City Farmers Market,Baker city,Baker,Oregon,97814
Bakersfield Wall St. Alley Farmers Market,Bakerfield,Kern,California,93309
Mount Elgon Farmers Market,Bakersfield,Kern,California,93307
East Bakersfield Community Health Center CFM,Bakersfield,Kern,California,
Central Park FM,Bakersfield,Kern,California,
Bakersfield Health Dept CFM,Bakersfield,KERN,California,
Brimhall CFM,Bakersfield,Kern,California,
Valley Farmers' Market Association LLC,Bakersfield,Kern,California,
Bakersville Farmers Market,Bakersviile,Mitchell,North Carolina,28705
Eden's Organic Garden Center ,Balch springs ,Dallas,Texas,75180
Baldwin's Main St. Farmers Market,Baldwin,St. Croix,Wisconsin,54002
Baldwin City Farmers' Market,Baldwin city,Douglas,Kansas,66006
Baldwin Park Farmers Market,Baldwin park,Los Angeles,California,91706
