City,State,UniqueFastFoodChains
Hazelwood,MO,1
Healdton,OK,1
Hebron,NE,1
Helena,MT,3
Hemet,CA,3
Hempstead,NY,1
Henderson,CO,1
Henderson,KY,1
Henderson,NV,5
Henderson,TN,2
Hendersonville,NC,1
Hendersonville,TN,3
Henrico,VA,7
Henryetta,OK,2
Hephzibah,GA,2
Herculaneum,MO,1
Hercules,CA,1
Hereford,TX,1
Hermiston,OR,1
Hermitage,PA,3
Hermitage,TN,4
Hernando,MS,1
Herndon,VA,1
Hesperia,CA,3
Heyburn,ID,1
Hialeah,FL,7
Hiawassee,GA,1
Hickory,NC,4
Hicksville,NY,3
Hidalgo,TX,1
High Point,NC,3
Highland,CA,3
Highland,IL,1
Highland Park,IL,3
Hightstown,NJ,1
Hilliard,OH,7
Hillsborough,NJ,1
Hillsdale,MI,3
Hilo,HI,2
Hilton Head Island,SC,1
Hinckley,MN,1
Hinesville,GA,2
Hingham,MA,1
Hiram,GA,2
Hitchcock,TX,1
Hixson,TN,3
Hobart,IN,2
Hobart,OK,1
Hobbs,NM,1
Hobe Sound,FL,1
Hockessin,DE,2
Hodgenville,KY,1
Hoffman Estates,IL,1
Holland,MI,5
Holland,OH,3
Hollis,NY,1
Hollister,CA,1
Hollister,MO,2
Holly,MI,1
Hollywood,FL,7
Holmes,PA,2
Holt,MI,1
Holyoke,MA,1
Homer,IL,1
Homewood,IL,1
Honolulu,HI,4
Hood River,OR,1
Hooksett,NH,2
Hoopeston,IL,1
Hope,AR,2
Hopewell,VA,1
Hopkins,MN,1
Hopkinsville,KY,2
Horn Lake,MS,2
Horse Shoe,NC,1
Horseheads,NY,2
Hot Springs,SD,1
Hot Springs National Park,AR,5
Houghton Lake,MI,2
Houma,LA,6
House Springs,MO,1
Houston,MO,1
Houston,TX,24
Howell,MI,3
Howell,NJ,1
Hudson,MI,1
Hudsonville,MI,1
Humble,TX,3
Humboldt,TN,1
Huntington,IN,1
Huntington,TX,1
Huntington,WV,3
Huntington Beach,CA,9
Huntington Park,CA,3
Huntsville,TX,2
Huron,OH,1
Huron,SD,1
Hurricane,UT,1
Hurst,TX,1
Hutchinson,KS,2
Hutchinson,MN,1
Hyannis,MA,3
Hyattsville,MD,2
Hyde Park,MA,1
Idaho Falls,ID,4
Imperial Beach,CA,1
Independence,IA,1
Independence,KS,2
Independence,MO,3
Independence,OH,2
Independence,OR,1
Indian River,MI,1
Indian Trail,NC,1
Indiana,PA,2
Indianapolis,IN,16
Indio,CA,2
Ingleside,TX,1
Inglewood,CA,6
Inver Grove Heights,MN,1
Inverness,FL,3
Inwood,WV,1
Ionia,MI,2
Iowa,LA,1
Iowa City,IA,1
Iowa Falls,IA,1
Irmo,SC,1
Irvine,CA,8
Irvine,KY,1
Irving,TX,5
Irwin,PA,1
Issaquah,WA,1
Ithaca,NY,3
Jackson,CA,1
Jackson,MI,5
Jackson,MS,4
Jackson,OH,1
Jackson,TN,4
Jackson,WI,1
Jacksonville,AR,3
Jacksonville,FL,15
Jacksonville,NC,3
Jacksonville Beach,FL,1
Jamaica,NY,1
Jamaica Plain,MA,1
Jamestown,ND,2
Jamestown,NY,1
Janesville,WI,3
Jasper,GA,2
Jasper,IN,4
Jeannette,PA,1
Jefferson,NC,1
Jefferson City,MO,4
Jefferson City,TN,1
Jeffersonville,IN,1
Jeffersonville,OH,2
Jensen Beach,FL,1
Jericho,NY,3
Jerome,ID,2
Jersey City,NJ,3
Jessup,MD,3
Jim Thorpe,PA,1
John Day,OR,1
Johnson City,NY,2
Johnson City,TN,4
Johnson Creek,WI,2
Johnsonville,SC,1
Johnstown,CO,1
Johnstown,NY,1
Johnstown,OH,1
Johnstown,PA,7
Joliet,IL,4
Jonesboro,AR,3
Jonesboro,GA,2
Jonesborough,TN,3
Jonestown,PA,1
Jonesville,NC,1
Jordan,MN,1
Junction City,KS,2
Junction City,OR,1
Jupiter,FL,3
Kahului,HI,4
Kailua,HI,1
Kalamazoo,MI,7
Kalispell,MT,2
Kalkaska,MI,1
Kankakee,IL,3
Kannapolis,NC,2
Kansas City,KS,3
Kansas City,MO,9
Kapolei,HI,1
Katy,TX,1
Kaysville,UT,1
Kearney,NE,5
Kearny,NJ,2
Keego Harbor,MI,1
Keene,NH,1
Keller,TX,2
Kemah,TX,1
Kenai,AK,1
Kendallville,IN,2
Kenedy,TX,1
Kenly,NC,3
Kenner,LA,2
Kennesaw,GA,5
Kennett Square,PA,1
Kennewick,WA,1
Kenosha,WI,5
Kent,WA,3
Kenton,OH,1
Kermit,TX,1
Kernersville,NC,4
Kerrville,TX,1
Kewaskum,WI,1
Killeen,TX,5
King City,CA,1
King George,VA,2
Kingdom City,MO,1
Kingman,AZ,3
Kings Mountain,NC,1
Kingsburg,CA,1
Kingsport,TN,3
Kingston,NY,2
Kingston,PA,2
Kingston Springs,TN,1
Kingstree,SC,1
Kingwood,TX,1
Kingwood,WV,1
Kinston,NC,3
Kirksville,MO,1
Kissimmee,FL,9
Kittanning,PA,1
Kittery,ME,1
Klamath Falls,OR,2
Knoxville,IA,2
Knoxville,TN,13
Kokomo,IN,3
Kouts,IN,1
Kuttawa,KY,1
Kyle,TX,1
Kīhei,HI,1
La Cañada Flintridge,CA,1
La Crescenta,CA,2
La Crosse,WI,1
La Feria,TX,1
La Grande,OR,1
La Grange,KY,1
La Grange,TX,1
La Habra,CA,4
La Marque,TX,1
La Mesa,CA,1
La Mirada,CA,2
La Plata,MD,1
La Porte,IN,1
La Porte,TX,2
La Puente,CA,3
La Quinta,CA,2
La Vernia,TX,2
La Vista,NE,1
LaGrange,GA,4
Lacey,WA,1
Laconia,NH,1
Lady Lake,FL,1
Lafayette,CA,1
Lafayette,CO,1
Lafayette,IN,3
Lafayette,LA,4
Laguna Beach,CA,3
Laguna Niguel,CA,2
Lahaina,HI,1
Lake Charles,LA,3
Lake City,MN,1
Lake City,SC,1
Lake Elsinore,CA,3
Lake Forest,CA,1
Lake Geneva,WI,2
Lake Havasu City,AZ,2
Lake Hopatcong,NJ,1
Lake Mary,FL,3
Lake Orion,MI,3
Lake Oswego,OR,1
Lake Park,GA,1
Lake Saint Louis,MO,1
Lake Worth,FL,6
Lake Zurich,IL,1
Lakeland,FL,5
Lakeside,CA,1
Lakewood,CA,1
Lakewood,NY,2
Lakewood,WA,3
Lambsburg,VA,1
Lancaster,CA,5
Lancaster,OH,3
Lancaster,PA,4
Lancaster,SC,2
Lancaster,WI,1
Landrum,SC,2
Lansing,IL,2
Lansing,MI,8
Lapeer,MI,2
Laramie,WY,1
Laredo,TX,5
Largo,FL,4
Las Cruces,NM,5
Las Vegas,NM,1
Las Vegas,NV,22
Latham,NY,1
Latonia,KY,1
Laughlin,NV,1
Laurel,MD,4
Laurel,MT,1
Laurens,SC,1
Lavallette,NJ,1
Lavonia,GA,1
Lawndale,CA,2
Lawrence,KS,2
Lawrenceburg,IN,2
Lawrenceburg,TN,1
Lawrenceville,GA,5
Lawrenceville,VA,1
Lawton,OK,4
Layton,UT,5
Le Mars,IA,1
Le Roy,NY,1
Leadville,CO,1
League City,TX,2
Leander,TX,2
Leavenworth,KS,1
Leavenworth,WA,1
Lebanon,IL,1
Lebanon,IN,1
Lebanon,KY,1
Lebanon,OH,3
Lebanon,PA,2
Lebanon,TN,2
Lebec,CA,2
Lee,MA,1
Leechburg,PA,1
Leesburg,GA,1
Leesburg,VA,3
Leesville,LA,1
Lehi,UT,1
Lehighton,PA,2
Leitchfield,KY,1
Lemon Grove,CA,3
Lena,IL,1
Lenexa,KS,1
Lenoir,NC,4
Lenoir City,TN,1
Lenox,MA,1
Leominster,MA,1
Levittown,NY,1
Lewes,DE,2
Lewis Center,OH,1
Lewisburg,PA,2
Lewisburg,WV,1
Lewiston,ID,1
Lewiston,ME,1
Lewisville,NC,1
Lewisville,TX,1
Lexington,KY,9
Lexington,MA,1
Lexington,NC,5
Lexington,NE,1
Lexington,SC,6
Lexington,VA,2
Lexington Park,MD,1
Libby,MT,1
Liberty,KY,1
Liberty,MO,1
Liberty,NY,2
Liberty,SC,1
Liberty Lake,WA,2
Libertyville,IL,1
Ligonier,PA,1
Lihue,HI,1
Lilburn,GA,3
Lima,OH,6
Lincoln,CA,2
Lincoln,IL,1
Lincoln,NE,10
Lincoln City,OR,1
Lincoln Park,MI,3
Lincolnton,NC,1
Lindenhurst,NY,1
Lindon,UT,1
Lindstrom,MN,1
Linthicum Heights,MD,3
Linton,IN,1
Litchfield,IL,3
Litchfield Park,AZ,1
Lithia Springs,GA,3
Lithonia,GA,4
Little Chute,WI,1
Little Elm,TX,2
Little Falls,MN,2
Little Rock,AR,6
Littlestown,PA,1
Littleton,CO,8
Littleton,MA,1
Livermore,CA,3
Liverpool,NY,1
Livingston,MT,2
Livingston,NJ,1
Livingston,TN,2
Livonia,MI,4
Lock Haven,PA,2
Lockport,IL,2
Lockport,NY,2
Locust Grove,GA,2
Lodi,CA,3
Logan,OH,4
Logan,WV,1
Logansport,IN,1
Loganville,GA,2
Loma Linda,CA,1
Lomita,CA,3
London,KY,1
London,OH,1
Long Beach,CA,12
Long Beach,NY,1
Long Beach,WA,1
Long Branch,NJ,3
Longmont,CO,3
Longview,TX,10
Longview,WA,4
Longwood,FL,2
Loogootee,IN,1
Lordsburg,NM,1
Loretto,TN,1
Los Alamitos,CA,2
Los Alamos,NM,1
Los Angeles,CA,21
Los Banos,CA,1
Los Gatos,CA,1
Los Lunas,NM,3
Louisburg,NC,1
Louisville,CO,1
Louisville,GA,1
Louisville,KY,14
Louisville,NE,1
Louisville,OH,2
Louisville,TN,1
Loveland,CO,4
Loves Park,IL,2
Lowell,MA,2
Lowell,MI,1
Lubbock,TX,12
Lufkin,TX,1
Lugoff,SC,2
Lumberton,NC,2
Lumberton,TX,1
Luray,VA,1
Lynbrook,NY,1
Lynchburg,TN,1
Lynchburg,VA,5
Lynn,MA,1
Lynnwood,WA,4
Lynwood,CA,1
Mabank,TX,2
Mableton,GA,1
Machesney Park,IL,2
Machias,ME,1
Macomb,IL,1
Macomb,MI,1
Macon,GA,7
Madison,GA,1
Madison,IN,1
Madison,OH,1
Madison,TN,5
Madison,WI,9
Madison Heights,VA,1
Madisonville,KY,3
Madisonville,TX,2
Magna,UT,2
Magnolia,NJ,1
Mahomet,IL,1
Maineville,OH,1
Maize,KS,1
Makawao,HI,1
Malden,MA,3
Malvern,AR,1
Manasquan,NJ,2
Manassas,VA,4
Manchester,CT,4
Manchester,GA,1
Manchester,NH,6
Mandeville,LA,4
Mangum,OK,1
Manhattan,KS,5
Manhattan Beach,CA,1
Manistee,MI,1
Manitou Springs,CO,1
Manitowoc,WI,1
Mankato,MN,2
Manorville,NY,1
Mansfield,MA,1
Mansfield,OH,4
Mansfield,PA,1
Mansfield,TX,2
Mansura,LA,1
Manteca,CA,1
Manvel,TX,1
Many,LA,3
Maple Grove,MN,1
Marana,AZ,1
Marathon,FL,1
Marengo,OH,1
Marianna,FL,4
Marietta,GA,8
Marion,AR,1
Marion,IA,2
Marion,IL,1
Marion,IN,3
Marion,OH,1
Marion,VA,3
Marlborough,MA,2
Marlin,TX,1
Marquette,MI,2
Marrero,LA,4
Mars Hill,NC,1
Marshall,MI,1
Marshall,MN,2
Marshalltown,IA,3
Marshfield,WI,1
Marstons Mills,MA,1
Martin,TN,1
Martinez,CA,1
Martins Ferry,OH,1
Martinsburg,WV,4
Martinsville,IN,1
Martinsville,VA,2
Mary Esther,FL,2
Maryland Heights,MO,1
Marysville,CA,1
Marysville,KS,1
Marysville,MI,1
Marysville,OH,2
Marysville,WA,3
Maryville,TN,3
Mashpee,MA,1
Mason,OH,5
Mason City,IA,3
Massillon,OH,5
Matthews,NC,2
Mattoon,IL,1
Mauldin,SC,2
Maumee,OH,2
Maurice,LA,1
Mayfield,KY,3
Maynard,MA,2
Maysville,KY,3
McAlester,OK,3
McAllen,TX,4
McDonough,GA,3
McHenry,IL,1
McKeesport,PA,2
McKinney,TX,3
McMinnville,OR,3
McMinnville,TN,3
McPherson,KS,1
Meadville,PA,1
Mebane,NC,1
Mechanicsburg,PA,2
Mechanicsville,VA,2
Medford,MA,2
Medford,OR,5
Medina,OH,5
Melbourne,FL,2
Melrose,MA,1
Melrose Park,IL,3
Melville,NY,1
Melvindale,MI,1
Memphis,TN,10
Mena,AR,1
Menasha,WI,3
Menlo Park,CA,1
Menomonie,WI,1
Mentor,OH,2
Merced,CA,2
Mercer,PA,1
Meriden,CT,1
Meridian,ID,3
Merrick,NY,1
Merrillville,IN,1
Merritt Island,FL,2
Mesa,AZ,13
Mesquite,TX,8
Metairie,LA,5
Metter,GA,3
Metuchen,NJ,1
Meyersdale,PA,1
Miami,FL,17
Miami,OK,2
Miami Gardens,FL,1
Miamisburg,OH,3
Middle River,MD,1
Middlebury,IN,1
Middlefield,OH,1
Middlesboro,KY,4
Middleton,ID,2
Middleton,WI,2
Middletown,CT,1
Middletown,DE,2
Middletown,NY,2
Middletown,OH,4
Midland,MI,5
Midland,TX,1
Midlothian,IL,1
Midlothian,VA,3
Mifflinburg,PA,1
Mifflinville,PA,1
Milan,TN,1
Milford,CT,1
Milford,OH,1
Milledgeville,GA,4
Millen,GA,1
Millersburg,OH,2
Millersville,MD,1
Millington,TN,1
Millsboro,DE,1
Milpitas,CA,4
Milroy,PA,1
Milton,FL,3
Milton,WI,1
Milton,WV,1
Milwaukee,WI,8
Mims,FL,1
Minden,LA,1
Minden,NV,1
Mineral Wells,TX,3
Minneapolis,MN,12
Minocqua,WI,1
Minooka,IL,1
Minot,ND,2
Miramar Beach,FL,2
Mishawaka,IN,5
Mission,TX,1
Mission Viejo,CA,1
Missoula,MT,6
Missouri City,TX,3
Mitchell,SD,1
Mobridge,SD,2
Mocksville,NC,2
Modesto,CA,6
Molalla,OR,1
Moline,IL,6
Monaca,PA,3
Monahans,TX,1
Moncks Corner,SC,3
Monett,MO,2
Monmouth,IL,2
Monmouth Junction,NJ,1
Monroe,GA,3
Monroe,LA,4
Monroe,MI,5
Monroe,NY,1
Monroeville,PA,3
Montclair,CA,2
Montebello,CA,4
Monterey,CA,1
Monterey Park,CA,1
Montevideo,MN,1
Montgomery,AL,1
Montgomery,IL,3
Montgomery,NY,1
Monticello,AR,1
Monticello,IN,1
Monticello,KY,1
Monticello,MN,1
Monticello,MS,1
Montrose,CO,2
Montrose,MI,1
Moorestown,NJ,1
Mooresville,IN,1
Mooresville,NC,2
Moorhead,MN,2
Mora,MN,1
Moraga,CA,1
Morehead,KY,1
Morehead City,NC,1
Moreno Valley,CA,1
Morgan City,LA,5
Morgan Hill,CA,2
Morganfield,KY,1
Morganton,NC,2
Morgantown,WV,5
Morrilton,AR,2
Morris,MN,2
Morrison,IL,1
Morristown,NJ,1
Morristown,TN,4
Morrisville,NC,3
Morrisville,PA,1
Morrow,GA,4
Morton,IL,1
Moscow,ID,1
Moses Lake,WA,1
Mosinee,WI,1
Moss Point,MS,1
Moundsville,WV,1
Mount Airy,NC,1
Mount Carmel,IL,1
Mount Dora,FL,1
Mount Ephraim,NJ,2
Mount Gilead,OH,3
Mount Holly,NJ,2
Mount Juliet,TN,2
Mount Kisco,NY,1
Mount Laurel,NJ,2
Mount Orab,OH,1
Mount Pleasant,IA,1
Mount Pleasant,MI,4
Mount Pleasant,PA,1
Mount Pleasant,SC,3
Mount Pleasant,TX,1
Mount Pocono,PA,2
Mount Prospect,IL,2
Mount Vernon,IA,1
Mount Vernon,IL,2
Mount Vernon,MO,1
Mount Vernon,NY,1
Mount Vernon,TX,1
Mount Vernon,WA,2
Mountain Grove,MO,1
Mountain View,CA,2
Moweaqua,IL,1
Mukwonago,WI,1
Mulberry,FL,1
Mullica Hill,NJ,1
Mullins,SC,1
Muncie,IN,2
Mundelein,IL,4
Munfordville,KY,1
Munster,IN,1
Murfreesboro,TN,4
Murphy,NC,2
Murphysboro,IL,1
Murray,KY,1
Murrells Inlet,SC,1
Murrieta,CA,3
Murrysville,PA,2
Muscatine,IA,2
Muskego,WI,1
Muskegon,MI,5
Muskogee,OK,4
Mustang,OK,1
Myrtle Beach,SC,4
Nampa,ID,3
Napa,CA,3
Naperville,IL,2
Naples,FL,6
Napoleon,OH,2
Nashotah,WI,1
Nashua,NH,4
Nashville,GA,1
Nashville,NC,1
Nashville,TN,16
Natchez,MS,1
Natchitoches,LA,1
Natick,MA,1
National City,CA,4
Natrona Heights,PA,1
Navarre,FL,2
Nederland,TX,2
Needham Heights,MA,1
Neenah,WI,1
Neodesha,KS,1
Neoga,IL,1
Neosho,MO,1
Neptune Beach,FL,1
Nesquehoning,PA,1
New Albany,IN,4
New Albany,OH,1
New Bedford,MA,1
New Bern,NC,1
New Braunfels,TX,4
New Britain,CT,2
New Brunswick,NJ,2
New Castle,CO,1
New Castle,DE,5
New Castle,PA,2
New City,NY,1
New Franken,WI,1
New Haven,CT,1
New Holland,PA,1
New Holstein,WI,1
New Hope,PA,1
New Hyde Park,NY,1
New Iberia,LA,1
New Lexington,OH,2
New London,CT,1
New London,WI,1
New Market,MD,1
New Market,VA,2
New Milford,NJ,1
New Orleans,LA,9
New Oxford,PA,2
New Paltz,NY,1
New Philadelphia,OH,4
New Port Richey,FL,1
New Roads,LA,1
New Smyrna Beach,FL,1
New York,NY,12
Newark,DE,3
Newark,NJ,3
Newark,OH,6
Newaygo,MI,1
Newberg,OR,1
Newberry,SC,1
Newbury Park,CA,1
Newhall,CA,1
Newland,NC,1
Newman,CA,1
Newnan,GA,2
Newport,OR,2
Newport,TN,1
Newport Beach,CA,7
Newport News,VA,5
Newton,IL,1
Newton,MA,1
Newton,NC,1
Newton,NJ,1
Newton Falls,OH,1
Newton Highlands,MA,1
Niagara Falls,NY,4
Niantic,CT,2
Nicholasville,KY,2
Niles,IL,4
Niles,MI,1
Niles,OH,1
Nipomo,CA,1
Noblesville,IN,1
Nogales,AZ,2
Norcross,GA,2
Norfolk,NE,3
Norfolk,VA,6
Normal,IL,1
Norman,OK,9
Norristown,PA,4
North Adams,MA,1
North Andover,MA,1
North Arlington,NJ,1
North Augusta,SC,4
North Aurora,IL,1
North Babylon,NY,2
North Bend,OR,1
North Bend,WA,1
North Bergen,NJ,1
North Billerica,MA,2
North Brunswick,NJ,1
North Canton,OH,2
North Charleston,SC,4
North Chicago,IL,1
North Haven,CT,1
North Highlands,CA,1
North Hills,CA,1
North Hollywood,CA,2
North Las Vegas,NV,5
North Lima,OH,1
North Little Rock,AR,2
North Manchester,IN,1
North Miami Beach,FL,1
North Myrtle Beach,SC,4
North Olmsted,OH,3
North Platte,NE,2
North Reading,MA,1
North Richland Hills,TX,3
North Royalton,OH,2
North Tonawanda,NY,3
North Vernon,IN,2
North Versailles,PA,1
North Weymouth,MA,1
Northampton,MA,1
Northport,NY,1
Northridge,CA,4
Northwood,OH,1
Norwalk,CA,3
Norwalk,CT,3
Norway,MI,1
Norwell,MA,1
Norwich,NY,1
Norwood,NJ,1
Norwood Young America,MN,1
Nottingham,MD,4
Nutley,NJ,1
O Fallon,MO,1
Oacoma,SD,1
Oak Brook,IL,2
Oak Creek,WI,3
Oak Forest,IL,1
Oak Lawn,IL,1
Oak Park,IL,1
Oak Ridge,TN,1
Oakdale,CA,1
Oakland,CA,5
Oakland,OR,1
Oakland,TN,1
Oakridge,OR,1
Oberlin,OH,1
Ocala,FL,8
Ocean City,NJ,2
Ocean Springs,MS,1
Oceanside,CA,5
Oceanside,NY,1
Ocilla,GA,1
Ocoee,TN,1
Oconto Falls,WI,2
Odenton,MD,1
Odessa,TX,4
Ogallala,NE,1
Ogden,UT,3
Oglesby,IL,2
Okeechobee,FL,3
Okemos,MI,1
Oklahoma City,OK,15
Okmulgee,OK,2
Olathe,KS,3
Old Greenwich,CT,2
Old Hickory,TN,2
Oldsmar,FL,1
Olean,NY,2
Olive Branch,MS,1
Olive Hill,KY,1
Olivet,MI,1
Olmsted Falls,OH,1
Olney,IL,1
Olympia,WA,7
Omaha,NE,16
Oneida,NY,1
Oneida,TN,1
Oneonta,NY,1
Ontario,CA,5
Ontario,OR,2
Ooltewah,TN,1
Opelousas,LA,4
Orange,CA,4
Orange City,FL,2
Orange Park,FL,3
Orangeburg,SC,3
Orchard Park,NY,1
Oregon,OH,1
Oregon City,OR,4
Orem,UT,2
Orlando,FL,18
Ormond Beach,FL,2
Osceola,IA,1
Oshkosh,WI,4
Osseo,MN,2
Oswego,IL,2
Oswego,NY,2
Ottawa,IL,2
Ottawa,OH,1
Ottumwa,IA,1
Overland Park,KS,6
Oviedo,FL,5
Owasso,OK,1
Owatonna,MN,1
Owensboro,KY,2
Owings Mills,MD,2
Owosso,MI,1
Oxford,MS,4
Oxford,OH,2
Oxnard,CA,8
Oxon Hill,MD,1
Ozark,AR,1
Ozone Park,NY,2
Pacific,MO,1
Pacific Grove,CA,1
Pacific Palisades,CA,1
Paducah,KY,1
Pahoa,HI,1
Painesville,OH,2
Paintsville,KY,1
Palatine,IL,3
Palatka,FL,2
Palestine,TX,2
Palm Bay,FL,4
Palm Beach Gardens,FL,1
Palm City,FL,1
Palm Desert,CA,3
Palmdale,CA,6
Palmer,AK,1
Palmetto,FL,2
Palmyra,IN,1
Palmyra,ME,1
Palmyra,PA,1
Palmyra,VA,1
Palo Alto,CA,2
Palos Heights,IL,1
Palos Hills,IL,1
Palos Verdes Peninsula,CA,1
Panama City,FL,5
Panama City Beach,FL,3
Panorama City,CA,1
Paoli,PA,1
Paragould,AR,1
Paramount,CA,1
Paramus,NJ,1
Paris,IL,1
Paris,TN,1
Paris,TX,3
Park City,UT,1
Park Hills,MO,2
Parker,AZ,3
Parker,CO,3
Parkersburg,WV,3
Parkesburg,PA,1
Parkville,MD,2
Parlier,CA,1
Parlin,NJ,1
Parrish,FL,1
Pasadena,CA,6
Pasadena,MD,1
Pasadena,TX,5
Pascagoula,MS,2
Pasco,WA,4
Pataskala,OH,1
Patchogue,NY,3
Pawtucket,RI,2
Pea Ridge,AR,1
Peabody,MA,1
Peachtree City,GA,1
Peachtree Corners,GA,2
Pearl,MS,2
Pearland,TX,3
Peekskill,NY,1
Pekin,IL,3
Pelahatchie,MS,1
Pemberton,NJ,1
Pendleton,KY,1
Pendleton,OR,1
Pendleton,SC,1
Penitas,TX,1
Pennsauken,NJ,1
Pennsburg,PA,1
Pensacola,FL,9
Peoria,AZ,9
Peoria,IL,5
Pequannock,NJ,1
Percival,IA,1
Perkasie,PA,1
Perris,CA,2
Perry,GA,4
Perry,IA,1
Perry,OK,1
Perrysburg,OH,2
Perryville,MD,1
Perryville,MO,1
Perth Amboy,NJ,1
Peru,IL,2
Petaluma,CA,1
Petersburg,IL,1
Petersburg,VA,2
Petersburg,WV,2
Pettus,TX,1
Pfafftown,NC,1
Pflugerville,TX,1
Philadelphia,PA,25
Philipsburg,PA,1
Phoenix,AZ,19
Phoenix,MD,1
Phoenixville,PA,1
Pickens,SC,1
Pickerington,OH,4
Pico Rivera,CA,1
Piedmont,OK,1
Piedmont,SC,4
Pierre,SD,1
Pigeon Forge,TN,4
Pikeville,KY,2
Pinconning,MI,2
Pine Bluff,AR,1
Pinellas Park,FL,3
Pineville,LA,1
Pineville,NC,1
Piney Flats,TN,1
Pinole,CA,2
Piqua,OH,1
Piscataway,NJ,3
Pismo Beach,CA,1
Pittsburg,CA,2
Pittsburg,KS,3
Pittsburg,TX,1
Pittsburgh,PA,10
Pittsfield,IL,1
Pittsfield,MA,3
Pittsford,NY,1
Placentia,CA,1
Plainfield,IN,3
Plainfield,NJ,3
Plainview,NY,2
Plainville,CT,1
Plainville,MA,1
Plainwell,MI,4
Plano,TX,3
Plant City,FL,3
Plaquemine,LA,1
Platteville,WI,2
Plattsburgh,NY,2
Plattsmouth,NE,1
Pleasant Hill,CA,3
Pleasanton,CA,3
Pleasanton,TX,1
Pleasantville,NY,1
Plover,WI,1
Plymouth,MA,3
Plymouth,MI,4
Plymouth,NH,2
Pocahontas,AR,1
Pocahontas,IA,1
Pocatello,ID,3
Pocola,OK,1
Point Pleasant,WV,2
Point Pleasant Beach,NJ,1
Polo,IL,1
Polson,MT,1
Pomona,CA,4
Pomona,NY,1
Pompano Beach,FL,10
Ponchatoula,LA,1
Ponderay,ID,1
Ponte Vedra Beach,FL,1
Pontiac,IL,1
Pontiac,MI,1
Pontotoc,MS,2
Pooler,GA,3
Poquoson,VA,1
Port Allen,LA,2
Port Angeles,WA,1
Port Arthur,TX,1
Port Barre,LA,2
Port Charlotte,FL,1
Port Chester,NY,2
Port Hueneme,CA,3
Port Huron,MI,1
Port Lavaca,TX,1
Port Orange,FL,2
Port Orchard,WA,1
Port Richey,FL,1
Port Saint Lucie,FL,2
Port Sulphur,LA,1
Port Washington,NY,1
Port Washington,WI,1
Portage,IN,2
Portage,MI,3
Portage,WI,1
Porterville,CA,1
Portland,OR,11
Portland,TN,1
Portland,TX,1
Portsmouth,OH,1
Portsmouth,VA,4
Post Falls,ID,3
Poteau,OK,1
Potomac,MD,3
Pottstown,PA,2
Poughkeepsie,NY,1
Poway,CA,6
Powder Springs,GA,3
Powell,OH,2
Powell,TN,2
Powell,WY,1
Powhatan,VA,1
Prairieville,LA,1
Pratt,KS,1
Prescott,AZ,1
Prescott Valley,AZ,1
Presque Isle,ME,1
Prestonsburg,KY,2
Price,UT,1
Prince Frederick,MD,1
Princeton,KY,1
Princeton,MN,3
Princeton,TX,1
Princeton,WV,2
Prospect,CT,1
Prospect,KY,1
Prosser,WA,2
Providence,RI,4
Providence Forge,VA,1
Provo,UT,4
Prudenville,MI,1
Pryor,OK,1
Pueblo,CO,1
Pulaski,NY,1
Pulaski,TN,1
Pulaski,VA,1
Pullman,WA,3
Puyallup,WA,5
Quakertown,PA,2
Queensbury,NY,1
Quincy,FL,1
Quincy,IL,2
Quincy,MA,4
Quitman,GA,2
Racine,WI,4
Radcliff,KY,2
Radford,VA,1
Rahway,NJ,1
Raleigh,NC,11
Ramona,CA,2
Rancho Cordova,CA,2
Rancho Cucamonga,CA,1
Rancho Santa Margarita,CA,1
Randleman,NC,1
Randolph,MA,1
Ranger,TX,1
Rantoul,IL,1
Rapid City,SD,5
Raton,NM,1
Ravenna,OH,1
Reading,PA,6
Red Bank,NJ,2
Red Bluff,CA,2
Red Bud,IL,1
Red Oak,TX,1
Red Springs,NC,1
Red Wing,MN,1
Redding,CA,3
Redford,MI,2
Redlands,CA,1
Redmond,OR,1
Redmond,WA,5
Redondo Beach,CA,2
Redwood City,CA,2
Redwood Falls,MN,1
Reed City,MI,1
Reedsburg,WI,1
Refugio,TX,2
Rego Park,NY,2
Reisterstown,MD,1
Reno,NV,7
Rensselaer,IN,2
Rensselaer,NY,1
Renton,WA,4
Reseda,CA,3
Reston,VA,1
Revere,MA,2
Rexburg,ID,1
Reynoldsburg,OH,3
Rhinelander,WI,1
Rialto,CA,4
Rice Lake,WI,2
Richardson,TX,4
Richland,MI,1
Richland,WA,1
Richland Center,WI,1
Richlands,VA,1
Richmond,CA,3
Richmond,IL,1
Richmond,IN,1
Richmond,TX,2
Richmond,VA,7
Richton Park,IL,1
Ridge,NY,1
Ridgeland,MS,1
Ridgeland,SC,1
Ridgeway,VA,1
Ridley Park,PA,1
Rigby,ID,1
Rincon,GA,2
Ringgold,GA,1
Rio Rancho,NM,4
Ripley,WV,1
Ripon,CA,1
Ripon,WI,1
Ririe,ID,1
Rising Sun,MD,1
River Falls,WI,1
Riverbank,CA,1
Riverhead,NY,2
Riverside,CA,8
Riverside,IL,1
Riverton,NJ,1
Riverton,UT,1
Riverton,WY,1
Roanoke,VA,7
Roanoke Rapids,NC,2
Roaring Spring,PA,1
Rochester,MI,2
Rochester,MN,6
Rochester,NH,3
Rochester,NY,6
Rock Falls,IL,1
Rock Hill,SC,1
Rock Spring,GA,1
