City,State,Population,Rate,Violent Crime,Murder and Non Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny and Theft,Motor Vehicle Theft,Actual Violent Crime,Actual Murder and Non Negligent Manslaughter,Actual Rape,Actual Robbery,Actual Aggravated Assault,Actual Property Crime,Actual Burglary,Actual Larceny and Theft,Actual Motor Vehicle Theft,Percentage Violent Crime,Percentage Murder and Non Negligent Manslaughter,Percentage Rape,Percentage Robbery,Percentage Aggravated Assault,Percentage Property Crime,Percentage Burglary,Percentage Larceny and Theft,Percentage Motor Vehicle Theft
Bakersfield,CA,884443,"Rate per 100,000 inhabitants",579.8,9.9,34.7,131.8,403.3,3682.5,944.2,2006.0,732.3,5128.000513999999,87.55985700000001,306.901721,1165.695874,3566.9586190000005,32569.613475,8350.910806,17741.92658,6476.776089,0.5798,0.0099,0.0347,0.1318,0.4033,3.6824999999999997,0.9441999999999999,2.006,0.7323
Baltimore-Columbia-Towson,MD,2797991,"Rate per 100,000 inhabitants",710.3,14.1,32.5,276.7,386.9,2790.4,535.6,1949.6,305.3,19874.130073,394.516731,909.347075,7742.041096999999,10825.427178999998,78075.140864,14986.039796000001,54549.632536,8542.266523,0.7103,0.014099999999999998,0.0325,0.2767,0.38689999999999997,2.7904,0.5356000000000001,1.9496,0.3053
Bangor,ME,152658,"Rate per 100,000 inhabitants",95.6,0.0,28.2,26.9,40.6,1941.6,382.6,1504.0,55.0,145.941048,0.0,43.049555999999995,41.065002,61.979147999999995,2964.007728,584.069508,2295.97632,83.9619,0.09559999999999999,0.0,0.028199999999999996,0.026899999999999997,0.0406,1.9416,0.38260000000000005,1.5040000000000002,0.055
Barnstable Town,MA,213081,"Rate per 100,000 inhabitants",,0.5,34.3,16.4,,1562.3,398.9,1101.0,62.4,,1.065405,73.086783,34.945284,,3328.9644630000003,849.9801089999999,2346.02181,132.962544,,0.0005,0.0343,0.0164,,1.5623000000000002,0.3988999999999999,1.101,0.0624
Baton Rouge,LA,833146,"Rate per 100,000 inhabitants",505.0,9.5,33.5,140.1,321.9,3398.0,721.1,2507.8,169.0,4207.3873,79.14887,279.10391,1167.2375459999998,2681.896974,28310.30108,6007.8158060000005,20893.635388000002,1408.01674,0.5050000000000001,0.0095,0.033499999999999995,0.1401,0.32189999999999996,3.398,0.7211000000000001,2.5078000000000005,0.169
Battle Creek,MI,133914,"Rate per 100,000 inhabitants",746.7,5.2,132.9,66.5,542.1,3140.1,795.3,2224.6,120.2,999.9358380000001,6.963528,177.971706,89.05281,725.947794,4205.033514,1065.018042,2979.050844,160.964628,0.7467,0.005200000000000001,0.13290000000000002,0.06649999999999999,0.5421,3.1401,0.7953,2.2245999999999997,0.1202
Bay City,MI,105209,"Rate per 100,000 inhabitants",369.7,2.9,103.6,30.4,232.9,1853.5,480.0,1290.8,82.7,388.95767299999994,3.051061,108.99652399999998,31.983535999999997,245.03176100000002,1950.048815,505.0032,1358.037772,87.00784300000001,0.3696999999999999,0.0029,0.10359999999999998,0.030399999999999996,0.23290000000000002,1.8535,0.48,1.2908,0.08270000000000001
Beaumont-Port Arthur,TX,408167,"Rate per 100,000 inhabitants",573.8,6.6,41.9,142.3,382.9,2740.3,755.3,1775.3,209.7,2342.062246,26.939021999999998,171.021973,580.821641,1562.8714429999998,11185.000301000002,3082.8853509999994,7246.188751000001,855.9261989999999,0.5738,0.006599999999999999,0.0419,0.1423,0.38289999999999996,2.7403000000000004,0.7552999999999999,1.7753,0.2097
Beckley,WV,121287,"Rate per 100,000 inhabitants",417.2,9.9,29.7,48.6,329.0,2739.8,713.2,1897.2,129.4,506.009364,12.007413,36.022239,58.945482,399.03423,3323.0212260000003,865.0188840000001,2301.056964,156.945378,0.4172,0.009899999999999999,0.0297,0.0486,0.329,2.7398000000000002,0.7132000000000001,1.8972,0.12940000000000002
Bellingham,WA,215331,"Rate per 100,000 inhabitants",224.3,1.9,57.6,32.0,132.8,3249.4,644.6,2406.5,198.3,482.98743300000007,4.091289,124.030656,68.90592,285.959568,6996.9655139999995,1388.023626,5181.940515,427.00137300000006,0.22430000000000003,0.0018999999999999998,0.0576,0.032,0.1328,3.2493999999999996,0.6446,2.4065,0.19830000000000003
Bend-Redmond,OR,180071,"Rate per 100,000 inhabitants",151.6,1.1,26.1,16.7,107.7,2170.8,243.2,1793.2,134.4,272.98763599999995,1.9807810000000001,46.99853100000001,30.071856999999998,193.936467,3908.981268,437.93267199999997,3229.033172,242.01542400000002,0.15159999999999998,0.0011,0.026100000000000005,0.0167,0.1077,2.1708000000000003,0.24319999999999997,1.7932,0.13440000000000002
Billings,MT,170245,"Rate per 100,000 inhabitants",377.1,1.8,46.4,54.0,274.9,3616.0,536.3,2542.8,536.9,641.9938950000001,3.06441,78.99368,91.9323,468.0035049999999,6156.0592,913.0239349999998,4328.989860000001,914.045405,0.37710000000000005,0.0018,0.0464,0.054,0.2748999999999999,3.6159999999999997,0.5362999999999999,2.5428,0.5368999999999999
Binghamton,NY,243328,"Rate per 100,000 inhabitants",289.3,2.5,62.9,60.0,164.0,2127.6,438.9,1602.8,85.9,703.9479040000001,6.0832,153.053312,145.9968,399.05792,5177.046528,1067.966592,3900.0611839999997,209.01875200000003,0.28930000000000006,0.0024999999999999996,0.0629,0.060000000000000005,0.164,2.1276,0.43889999999999996,1.6027999999999998,0.08590000000000002
Bismarck,ND,129489,"Rate per 100,000 inhabitants",293.5,2.3,47.9,26.3,217.0,2838.9,543.7,1948.4,346.7,380.050215,2.9782469999999996,62.025231,34.055607,280.99113,3676.0632210000003,704.0316930000001,2522.9636760000003,448.938363,0.2935,0.0022999999999999995,0.0479,0.0263,0.217,2.8389,0.5437000000000001,1.9484000000000001,0.3467
Blacksburg-Christiansburg-Radford,VA,181407,"Rate per 100,000 inhabitants",197.9,2.8,63.4,14.9,116.9,1681.9,259.1,1363.8,59.0,359.00445300000007,5.079396,115.01203799999999,27.029643000000004,212.064783,3051.0843330000002,470.02553700000004,2474.028666,107.03013,0.19790000000000002,0.0028,0.06339999999999998,0.014900000000000002,0.11690000000000002,1.6819000000000002,0.25910000000000005,1.3638000000000001,0.059000000000000004
Bloomington,IL,189092,"Rate per 100,000 inhabitants",277.1,1.6,48.7,51.3,175.6,1528.4,259.7,1214.8,53.9,523.973932,3.025472,92.087804,97.004196,332.045552,2890.082128,491.07192399999997,2297.0896159999998,101.920588,0.2771,0.0015999999999999999,0.0487,0.0513,0.1756,1.5284,0.2597,1.2147999999999999,0.053899999999999997
Bloomington,IN,166354,"Rate per 100,000 inhabitants",312.6,3.0,45.1,51.1,213.4,2528.9,500.7,1867.1,161.1,520.0226040000001,4.99062,75.025654,85.006894,354.999436,4206.926306,832.934478,3105.9955339999997,267.996294,0.3126000000000001,0.0029999999999999996,0.0451,0.051100000000000007,0.2134,2.5289,0.5007,1.8670999999999998,0.1611
Boise City,ID,693703,"Rate per 100,000 inhabitants",244.1,2.5,50.3,14.8,176.4,1770.5,316.1,1317.4,136.9,1693.3290229999998,17.342575,348.93260899999996,102.66804400000001,1223.692092,12282.011615,2192.795183,9138.843322,949.6794070000001,0.24409999999999996,0.0025,0.0503,0.014800000000000002,0.1764,1.7704999999999997,0.3161,1.3174000000000001,0.13690000000000002
Boston,MA,1994514,"Rate per 100,000 inhabitants",,3.0,32.9,115.4,,1612.3,234.7,1255.0,122.5,,59.83542,656.1951059999999,2301.6691560000004,,32157.549221999998,4681.124357999999,25031.1507,2443.27965,,0.003,0.0329,0.11540000000000003,,1.6122999999999998,0.23469999999999996,1.255,0.1225
Boston-Cambridge-Newton,MA,4798657,"Rate per 100,000 inhabitants",,1.9,26.9,71.8,,1399.4,202.7,1088.9,107.7,,91.174483,1290.838733,3445.4357259999997,,67152.40605800001,9726.877739,52252.576073000004,5168.1535890000005,,0.0018999999999999998,0.026900000000000004,0.07179999999999999,,1.3994000000000002,0.20269999999999996,1.0889000000000002,0.1077
Boulder,CO,324108,"Rate per 100,000 inhabitants",236.3,0.3,68.5,25.3,142.2,2314.4,348.0,1812.7,153.7,765.867204,0.972324,222.01398,81.999324,460.88157599999994,7501.155552,1127.89584,5875.105716,498.15399599999995,0.2363,0.00030000000000000003,0.0685,0.025300000000000003,0.1422,2.3144,0.348,1.8127,0.15369999999999998
Bowling Green,KY,170204,"Rate per 100,000 inhabitants",164.5,3.5,43.5,53.5,64.0,2152.7,406.0,1609.8,136.9,279.98558,5.95714,74.03874,91.05914,108.93056,3663.9815079999994,691.02824,2739.943992,233.00927600000003,0.1645,0.0034999999999999996,0.0435,0.0535,0.064,2.1527,0.406,1.6098000000000001,0.13690000000000002
Bremerton-Silverdale,WA,262877,"Rate per 100,000 inhabitants",258.7,0.4,42.6,35.4,180.3,2660.2,554.6,1902.0,203.5,680.0627989999999,1.051508,111.98560200000001,93.05845799999999,473.967231,6993.053954,1457.915842,4999.92054,534.954695,0.2587,0.0004000000000000001,0.042600000000000006,0.035399999999999994,0.18030000000000002,2.6602,0.5546000000000001,1.902,0.2035
Bridgeport-Stamford-Norwalk,CT,935988,"Rate per 100,000 inhabitants",229.8,1.5,18.7,85.6,124.0,1434.1,228.3,1034.8,170.9,2150.900424,14.03982,175.02975599999996,801.205728,1160.62512,13423.003907999999,2136.860604,9685.603824,1599.6034920000002,0.2298,0.0015,0.018699999999999998,0.0856,0.124,1.4340999999999997,0.22829999999999998,1.0348,0.17090000000000002
Brownsville-Harlingen,TX,423865,"Rate per 100,000 inhabitants",379.1,1.9,47.4,52.8,277.0,2854.9,499.2,2277.6,78.1,1606.872215,8.053435,200.91201,223.80072,1174.10605,12100.921885,2115.93408,9653.94924,331.03856499999995,0.3791,0.0019000000000000002,0.047400000000000005,0.05280000000000001,0.277,2.8548999999999998,0.4992,2.2776,0.07809999999999999
Brunswick,GA,116597,"Rate per 100,000 inhabitants",372.2,4.3,23.2,72.9,271.9,3018.9,729.0,2118.4,171.5,433.97403399999996,5.0136709999999995,27.050504,84.99921300000001,317.027243,3519.946833,849.99213,2469.990848,199.963855,0.3722,0.004299999999999999,0.0232,0.0729,0.27190000000000003,3.0189,0.729,2.1184,0.17149999999999999
Buffalo-Cheektowaga-Niagara Falls,NY,1127663,"Rate per 100,000 inhabitants",411.0,4.9,33.1,138.9,234.2,2417.4,461.7,1822.8,132.9,4634.69493,55.255487,373.256453,1566.3239070000002,2640.986746,27260.125362000002,5206.420071,20555.041164,1498.6641270000002,0.411,0.004900000000000001,0.033100000000000004,0.13890000000000002,0.2342,2.4174,0.46169999999999994,1.8227999999999998,0.13290000000000002
Burlington,NC,159667,"Rate per 100,000 inhabitants",391.4,6.9,17.5,62.0,305.0,2344.9,616.9,1609.6,118.4,624.936638,11.017023,27.941725,98.99354,486.98435,3744.031483,984.985723,2570.000032,189.045728,0.39139999999999997,0.0069,0.017499999999999998,0.062,0.305,2.3449,0.6169,1.6096,0.11839999999999999
California-Lexington Park,MD,111930,"Rate per 100,000 inhabitants",202.8,1.8,25.0,27.7,148.3,1853.8,369.0,1421.4,63.4,226.99404,2.01474,27.9825,31.00461,165.99219000000002,2074.95834,413.0217,1590.97302,70.96362,0.20280000000000004,0.0018,0.025,0.027700000000000002,0.14830000000000002,1.8538000000000003,0.369,1.4214,0.0634
Cambridge-Newton-Framingham,MA,2373065,"Rate per 100,000 inhabitants",235.2,1.1,19.1,44.8,170.3,1230.2,181.5,945.0,103.6,5581.44888,26.103715,453.255415,1063.13312,4041.329695,29193.44563,4307.112975,22425.46425,2458.49534,0.2352,0.0011,0.019100000000000002,0.0448,0.17029999999999998,1.2302,0.1815,0.9450000000000001,0.1036
Camden,NJ,1246564,"Rate per 100,000 inhabitants",272.4,6.7,22.6,89.2,153.9,1948.6,411.9,1422.1,114.6,3395.6403359999995,83.51978799999999,281.72346400000004,1111.935088,1918.461996,24290.546104,5134.597116,17727.386644,1428.5623440000002,0.2723999999999999,0.0066999999999999985,0.022600000000000002,0.0892,0.1539,1.9485999999999999,0.41190000000000004,1.4221,0.11460000000000001
Cape Coral-Fort Myers,FL,720949,"Rate per 100,000 inhabitants",355.4,5.7,34.5,61.7,253.4,1614.1,341.1,1159.4,113.6,2562.252746,41.094093,248.727405,444.82553300000006,1826.884766,11636.837808999999,2459.157039,8358.682706,818.9980639999999,0.35540000000000005,0.0057,0.034499999999999996,0.061700000000000005,0.25339999999999996,1.6140999999999999,0.3411,1.1594,0.11359999999999998
Cape Girardeau,MO,97631,"Rate per 100,000 inhabitants",480.4,6.1,21.5,73.7,379.0,2398.8,405.6,1885.7,107.5,469.019324,5.955490999999999,20.990665,71.954047,370.02149,2341.972428,395.991336,1841.0277670000003,104.953325,0.4804,0.0060999999999999995,0.0215,0.0737,0.37899999999999995,2.3988,0.40559999999999996,1.8857000000000002,0.1075
Carson City,NV,54605,"Rate per 100,000 inhabitants",287.5,1.8,5.5,36.6,243.6,1822.2,386.4,1278.3,157.5,156.989375,0.98289,3.003275,19.98543,133.01778,995.01231,210.99372,698.015715,86.002875,0.2875,0.0018,0.0055,0.0366,0.24359999999999998,1.8221999999999998,0.38639999999999997,1.2783,0.1575
Casper,WY,82870,"Rate per 100,000 inhabitants",202.7,0.0,27.8,14.5,160.5,2511.2,469.4,1852.3,189.5,167.97749,0.0,23.03786,12.01615,133.00635,2081.0314399999997,388.99178,1535.00101,157.03865,0.20269999999999996,0.0,0.0278,0.0145,0.16049999999999998,2.5111999999999997,0.46940000000000004,1.8522999999999998,0.1895
Cedar Rapids,IA,267187,"Rate per 100,000 inhabitants",220.4,1.9,37.4,43.0,138.1,,,1716.8,175.2,588.8801480000001,5.076553,99.92793799999998,114.89041,368.98524699999996,,,4587.066416,468.111624,0.2204,0.0018999999999999998,0.037399999999999996,0.043,0.13809999999999997,,,1.7167999999999999,0.17520000000000002
Chambersburg-Waynesboro,PA,153940,"Rate per 100,000 inhabitants",143.6,8.4,33.8,36.4,65.0,1481.7,288.4,1145.3,48.1,221.05784,12.93096,52.03172,56.03416,100.061,2280.92898,443.96296,1763.07482,74.04514,0.1436,0.008400000000000001,0.0338,0.0364,0.065,1.4817,0.28840000000000005,1.1453,0.048100000000000004
Champaign-Urbana,IL,239184,"Rate per 100,000 inhabitants",440.2,4.6,52.7,89.9,293.1,2570.0,632.1,1838.8,99.1,1052.887968,11.002464,126.049968,215.026416,701.048304,6147.0288,1511.8820640000001,4398.115392,237.031344,0.4402,0.0046,0.052700000000000004,0.08990000000000001,0.2931,2.5700000000000003,0.6321,1.8387999999999998,0.0991
Charleston,WV,218036,"Rate per 100,000 inhabitants",615.0,7.8,44.0,96.3,466.9,4153.4,989.3,2775.7,388.5,1340.9214,17.006808,95.93584,209.968668,1018.0100839999999,9055.907224,2157.030148,6052.025251999999,847.06986,0.615,0.0078,0.044000000000000004,0.0963,0.4669,4.1534,0.9892999999999998,2.7756999999999996,0.38849999999999996
Charleston-North Charleston,SC,762454,"Rate per 100,000 inhabitants",418.1,9.4,33.1,87.9,287.8,2845.9,481.3,2107.4,257.2,3187.8201740000004,71.670676,252.37227400000003,670.1970660000001,2194.3426120000004,21698.678386,3669.691102,16067.955596000002,1961.0316879999998,0.4181000000000001,0.009399999999999999,0.033100000000000004,0.0879,0.28780000000000006,2.8459,0.48129999999999995,2.1074,0.2572
Charlottesville,VA,230398,"Rate per 100,000 inhabitants",198.4,1.3,38.6,34.7,123.7,1462.3,193.6,1188.4,80.3,457.10963200000003,2.9951740000000004,88.93362800000001,79.94810600000001,285.00232600000004,3369.1099539999996,446.050528,2738.0498320000006,185.009594,0.19840000000000002,0.0013000000000000002,0.03860000000000001,0.0347,0.12370000000000003,1.4623,0.1936,1.1884000000000001,0.0803
Chattanooga,TN,551407,"Rate per 100,000 inhabitants",540.8,6.0,38.3,91.8,404.8,3251.0,573.1,2343.3,334.6,2982.0090559999994,33.08442,211.18888099999998,506.19162600000004,2232.095536,17926.24157,3160.113517,12921.120231,1845.0078220000003,0.5407999999999998,0.006,0.0383,0.0918,0.40479999999999994,3.251,0.5730999999999999,2.3433,0.33460000000000006
Cheyenne,WY,97275,"Rate per 100,000 inhabitants",251.9,8.2,37.0,18.5,188.1,3021.3,490.4,2265.7,265.2,245.035725,7.976549999999999,35.99175,17.995875,182.974275,2938.969575,477.0366,2203.9596749999996,257.9733,0.2519,0.008199999999999999,0.037000000000000005,0.018500000000000003,0.18810000000000002,3.0213,0.49040000000000006,2.2657,0.2652
Chicago-Naperville-Arlington Heights,IL,7318619,"Rate per 100,000 inhabitants",512.8,11.9,35.4,199.0,266.6,2166.1,345.2,1609.3,211.6,37529.878231999995,870.9156610000001,2590.791126,14564.05181,19511.438254,158528.606159,25263.872787999997,117778.53556699998,15486.197804,0.5127999999999999,0.011900000000000003,0.0354,0.199,0.2666,2.1661,0.34519999999999995,1.6092999999999997,0.21159999999999998
Chicago-Naperville-Elgin,IL,9523022,"Rate per 100,000 inhabitants",443.0,10.2,33.2,166.8,232.8,2081.6,330.7,1563.4,187.4,42186.98746,971.3482439999999,3161.643304,15884.400696,22169.595215999998,198231.225952,31492.633754000002,148882.92594800002,17846.143228,0.443,0.010199999999999999,0.0332,0.1668,0.23279999999999998,2.0816,0.3307,1.5634000000000001,0.1874
Chico,CA,224973,"Rate per 100,000 inhabitants",351.2,1.8,59.1,61.3,228.9,3247.9,780.1,2014.0,453.8,790.1051759999999,4.049514,132.959043,137.908449,514.963197,7306.898067,1755.0143730000002,4530.95622,1020.9274740000001,0.35119999999999996,0.0018,0.05910000000000001,0.06129999999999999,0.22890000000000002,3.2479,0.7801,2.0140000000000002,0.45380000000000004
Cincinnati,OH,2163182,"Rate per 100,000 inhabitants",257.3,4.7,41.1,102.3,109.2,2616.6,525.9,1954.4,136.2,5565.867286000001,101.669554,889.067802,2212.935186,2362.194744,56601.820212,11376.174138,42277.229008,2946.2538839999997,0.25730000000000003,0.0047,0.041100000000000005,0.1023,0.10919999999999999,2.6166,0.5259,1.9544000000000001,0.1362
Clarksville,TN,285097,"Rate per 100,000 inhabitants",427.6,6.7,40.3,70.9,309.7,2213.6,450.0,1644.7,118.9,1219.074772,19.101499,114.894091,202.13377300000002,882.9454089999999,6310.907192,1282.9365,4688.990359,338.98033300000003,0.4275999999999999,0.0067,0.0403,0.0709,0.3097,2.2136,0.44999999999999996,1.6447,0.11890000000000002
Cleveland,TN,121862,"Rate per 100,000 inhabitants",512.1,2.5,19.7,52.5,437.4,3366.1,665.5,2352.7,347.9,624.055302,3.04655,24.006814,63.97755,533.0243879999999,4101.996782,810.99161,2867.0472739999996,423.95789799999994,0.5121,0.0024999999999999996,0.0197,0.0525,0.43739999999999996,3.3661000000000003,0.6655,2.3526999999999996,0.34789999999999993
Cleveland-Elyria,OH,2055254,"Rate per 100,000 inhabitants",445.5,9.2,43.8,195.1,197.4,2383.8,565.2,1535.3,283.3,9156.15657,189.08336799999998,900.2012519999998,4009.800554,4057.0713960000003,48993.144852000005,11616.295608000002,31554.314661999997,5822.534582,0.44549999999999995,0.009199999999999998,0.04379999999999999,0.1951,0.19740000000000002,2.3838000000000004,0.5652,1.5352999999999999,0.2833
